,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1275272,TrakEM2 Software for Neural Circuit Reconstruction,2012,Albert Cardona and Stephan Saalfeld and Johannes Schindelin and Ignacio Arganda-Carreras and Stephan Preibisch and Mark Longair and Pavel Tomancak and Volker Hartenstein and Rodney J Douglas,7,PLoS ONE,6,e38011,Public Library of Science,,True,wxSnkE0AAAAJ:qjMakFHDy7sC,626,,2577882229249708240,/scholar?cites=2577882229249708240,,,,0,0,0
1275273,A high-level 3D visualization API for Java and ImageJ,2010,Benjamin Schmid and Johannes Schindelin and Albert Cardona and Mark Longair and Martin Heisenberg,11,BMC bioinformatics,1,274,BioMed Central Ltd,,True,wxSnkE0AAAAJ:2osOgNQ5qMEC,421,,5464881898236181205,/scholar?cites=5464881898236181205,,,,0,0,0
1275274,Quantitative neuroanatomy for connectomics in Drosophila,2015,Casey M Schneider-Mizell and Stephan Gerhard and Mark Longair and Tom Kazimiers and Feng Li and Maarten F Zwart and Andrew Champion and Frank Midgley and Richard Fetter and Stephan Saalfeld and Albert Cardona,,bioRxiv,,026617,Cold Spring Harbor Labs Journals,,True,wxSnkE0AAAAJ:Y0pCki6q_DkC,204,,14197374494793115496,/scholar?cites=14197374494793115496,,,,0,0,0
1275275,BrainTrap: a database of 3D protein expression patterns in the Drosophila brain,2010,Seymour Knowles-Barley and Mark Longair and J Douglas Armstrong,2010,Database,,baq005,Oxford University Press,,True,wxSnkE0AAAAJ:u-x6o8ySG0sC,23,,16278491043668161654,/scholar?cites=16278491043668161654,,,,0,0,0
1275276,Computational neuroanatomy of the central complex of Drosophila melanogaster,2009,Mark Longair,,,,,,,True,wxSnkE0AAAAJ:u5HHmVD_uO8C,4,,8596608730355252816,/scholar?cites=8596608730355252816,,,,0,0,0
1275277,Virtual Fly Brain: An ontology-linked schema of the Drosophila Brain,2009,David Osumi-Sutherland and Mark Longair and J Douglas Armstrong,,ICBO,,186,,,True,wxSnkE0AAAAJ:9yKSN-GCB0IC,1,,17642372131169077355,/scholar?cites=17642372131169077355,,,,0,0,0
1275278,Web-based collaborative neuronal reconstruction with CATMAID,2011,Stephan Gerhard and Mark Longair and Stephan Saalfeld and Pavel Tomancak and Albert Cardona,93,Front. Neuroinform. Conference Abstract: 4th INCF Congress of Neuroinformatics. doi: 10.3389/conf. fninf,,,,,True,wxSnkE0AAAAJ:IjCSPb-OGe4C,0,,,,,,,0,0,0
1275279,INCF Swiss Node: Neural Reconstruction,2010,M Longair,,Front. Neurosci. Conference Abstract: Neuroinformatics,,,,,True,wxSnkE0AAAAJ:zYLM7Y9cAGgC,0,,,,,,,0,0,0
1275280,Virtual Fly Brain: An image-linked ontology of the Drosophila Brain,,David Osumi-Sutherland and Mark Longair and J Douglas Armstrong,,Frontiers in Neuroinformatics,,16,Frontiers,,True,wxSnkE0AAAAJ:Tyk-4Ss8FVUC,0,,,,,,,0,0,0
1275281,Gradient projection for sparse reconstruction: Application to compressed sensing and other inverse problems,2007,Mário AT Figueiredo and Robert D Nowak and Stephen J Wright,1,"Selected Topics in Signal Processing, IEEE Journal of",4,586-597,IEEE,,True,S-pd0NwAAAAJ:ns9cj8rnVeAC,3733,,11268174153153993895,/scholar?cites=11268174153153993895,,,,0,0,0
1275282,Unsupervised learning of finite mixture models,2002,MAF Figueiredo and Anil K.  Jain,24,"Pattern Analysis and Machine Intelligence, IEEE Transactions on",3,381-396,IEEE,,True,S-pd0NwAAAAJ:O3NaXMp0MMsC,2582,,5292533246721322433,/scholar?cites=5292533246721322433,,,,0,0,0
1275283,Sparse reconstruction by separable approximation,2009,Stephen J Wright and Robert D Nowak and Mário AT Figueiredo,57,"Signal Processing, IEEE Transactions on",7,2479-2493,IEEE,,True,S-pd0NwAAAAJ:lSLTfruPkqcC,1949,,6439475259589728380,/scholar?cites=6439475259589728380,,,,0,0,0
1275284,A new TwIST: two-step iterative shrinkage/thresholding algorithms for image restoration,2007,José M Bioucas-Dias and Mário AT Figueiredo,16,"Image Processing, IEEE Transactions on",12,2992-3004,IEEE,,True,S-pd0NwAAAAJ:vV6vV6tmYwMC,1789,,1683583213821248673,/scholar?cites=1683583213821248673,,,,0,0,0
1275285,An EM algorithm for wavelet-based image restoration,2003,Mário AT Figueiredo and Robert D Nowak,12,"Image Processing, IEEE Transactions on",8,906-916,IEEE,,True,S-pd0NwAAAAJ:NaGl4SEjCO4C,1305,,5092506423600495591,/scholar?cites=5092506423600495591,,,,0,0,0
1275286,Fast image recovery using variable splitting and constrained optimization,2010,Manya V Afonso and José M Bioucas-Dias and Mário AT Figueiredo,19,"Image Processing, IEEE Transactions on",9,2345-2356,IEEE,,True,S-pd0NwAAAAJ:zA6iFVUQeVQC,1195,,16445572263628966142,/scholar?cites=16445572263628966142,,,,0,0,0
1275287,Image classification for content-based indexing,2001,Aditya Vailaya and Mário AT Figueiredo and Anil K Jain and Hong-Jiang Zhang,10,IEEE transactions on image processing,1,117-130,IEEE,,True,S-pd0NwAAAAJ:RGFaLdJalmkC,1107,,5012071456729140916,/scholar?cites=5012071456729140916,,,,0,0,0
1275288,An augmented Lagrangian approach to the constrained optimization formulation of imaging inverse problems,2011,Manya V Afonso and José M Bioucas-Dias and Mário AT Figueiredo,20,"Image Processing, IEEE Transactions on",3,681-695,IEEE,,True,S-pd0NwAAAAJ:b0M2c_1WBrUC,971,,365541135980531978,/scholar?cites=365541135980531978,,,,0,0,0
1275289,Sparse multinomial logistic regression: Fast algorithms and generalization bounds,2005,Balaji Krishnapuram and Lawrence Carin and Mario AT Figueiredo and Alexander J Hartemink,27,"Pattern Analysis and Machine Intelligence, IEEE Transactions on",6,957-968,IEEE,,True,S-pd0NwAAAAJ:J_g5lzvAfSwC,937,,3600506012192125422,/scholar?cites=3600506012192125422,,,,0,0,0
1275290,On the role of sparse and redundant representations in image processing,2010,Michael Elad and Mário AT Figueiredo and Yi Ma,98,Proceedings of the IEEE,6,972-982,IEEE,,True,S-pd0NwAAAAJ:_xSYboBqXhAC,771,,2927142630334715761,/scholar?cites=2927142630334715761,,,,0,0,0
1275291,Simultaneous feature selection and clustering using mixture models,2004,Martin H. C.  Law and Mario A. T.  Figueiredo and Anil K.  Jain,26,"Pattern Analysis and Machine Intelligence, IEEE Transactions on",9,1154-1166,IEEE,,True,S-pd0NwAAAAJ:35N4QoGY0k4C,705,,2739091020578348005,/scholar?cites=2739091020578348005,,,,0,0,0
1275292,Space-alternating generalized expectation-maximization algorithm,1994,Jeffrey A Fessler and Alfred O Hero,42,IEEE Transactions on signal processing,10,2664-2677,IEEE,,True,J5f4Gq8AAAAJ:IjCSPb-OGe4C,1274,,14232798759441719573,/scholar?cites=14232798759441719573,,,,0,0,0
1275293,Nonuniform fast Fourier transforms using min-max interpolation,2003,Jeffrey A Fessler and Bradley P Sutton,51,IEEE transactions on signal processing,2,560-574,IEEE,,True,J5f4Gq8AAAAJ:W7OEmFMy1HYC,1206,,16778096290873870785,/scholar?cites=16778096290873870785,,,,0,0,0
1275294,The EM algorithm—an old folk‐song sung to a fast new tune,1997,Xiao‐Li Meng and David Van Dyk,59,Journal of the Royal Statistical Society: Series B (Statistical Methodology),3,511-567,Blackwell Publishers Ltd.,,True,J5f4Gq8AAAAJ:txeM2kYbVNMC,885,,8397446410416335201,/scholar?cites=8397446410416335201,,,,0,0,0
1275295,Penalized weighted least-squares image reconstruction for positron emission tomography,1994,Jeffrey A Fessler,13,IEEE transactions on medical imaging,2,290-300,IEEE,,True,J5f4Gq8AAAAJ:zYLM7Y9cAGgC,765,,4882207019157334410,/scholar?cites=4882207019157334410,,,,0,0,0
1275296,Statistical image reconstruction for polyenergetic X-ray computed tomography,2002,Idris A Elbakri and Jeffrey A Fessler,21,IEEE transactions on medical imaging,2,89-99,IEEE,,True,J5f4Gq8AAAAJ:hqOjcs7Dif8C,670,,9739605338415892369,/scholar?cites=9739605338415892369,,,,0,0,0
1275297,Ordered subsets algorithms for transmission tomography,1999,Hakan Erdogan and Jeffrey A Fessler,44,Physics in Medicine & Biology,11,2835,IOP Publishing,,True,J5f4Gq8AAAAJ:ufrVoPGSRksC,654,,1088530616813991931,/scholar?cites=1088530616813991931,,,,0,0,0
1275298,Spatial Resolution Properties of Penalized-Likelihood Image Reconstruction: Space-Invariant Tomographs,1996,Jeffrey A Fessler and W. Leslie Rogers,5,IEEE TRANSACTIONS ON IMAGE PROCESSING,9,1346-58,,,True,J5f4Gq8AAAAJ:Tyk-4Ss8FVUC,608,,9381394521882835509,/scholar?cites=9381394521882835509,,,,0,0,0
1275299,In vivo mapping of cholinergic terminals in normal aging. Alzheimer's disease. and Parkinson's disease,1996,David E Kuhl and Saroshi Minoshima and Jeffrey A Fessler and EP Ficaro and DM Wieland and Robert A Koeppe and Kirk A Frey and Norman L Foster,40,Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society,3,399-410,Wiley Subscription Services. Inc.. A Wiley Company,,True,J5f4Gq8AAAAJ:YsMSGLbcyi4C,470,,17417234908675619350,/scholar?cites=17417234908675619350,,,,0,0,0
