,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,got_publications,got_coauthors
59,Professor of pathology,@emory.edu,61486,pmXolpMAAAAJ,False,immunology,max d cooper,https://scholar.google.com/citations?view_op=medium_photo&user=pmXolpMAAAAJ,0,0
60,"Chief, Laboratory of Molecular Immunology and Director, Immunology Center, National …",@helix.nih.gov,60963,Koy776AAAAAJ,False,immunology,Warren J. Leonard,https://scholar.google.com/citations?view_op=medium_photo&user=Koy776AAAAAJ,0,0
61,"University Zurich, Swiss Institute of Allergy and Asthma Research (SIAF), Davos, Switzerland",@siaf.uzh.ch,60102,78B7QRMAAAAJ,False,Immunology|allergy|asthma,Cezmi Akdis,https://scholar.google.com/citations?view_op=medium_photo&user=78B7QRMAAAAJ,0,0
62,Keio University School of Medicine,@a6.keio.jp,59109,kAvrlkAAAAAJ,False,Immunology|biochemistry|molecular biology,Akihiko Yoshimura,https://scholar.google.com/citations?view_op=medium_photo&user=kAvrlkAAAAAJ,0,0
63,prof,@radboudumc.nl,58878,ONsy2TEAAAAJ,False,Immunology|Tumor immunology|Immunotherapy|Chemical Immunology,Carl G. Figdor,https://scholar.google.com/citations?view_op=medium_photo&user=ONsy2TEAAAAJ,0,0
64,FAU Erlangen-Nürnberg,@uk-erlangen.de,58451,64zbpyQAAAAJ,False,Immunology,Georg Andreas Schett,https://scholar.google.com/citations?view_op=medium_photo&user=64zbpyQAAAAJ,0,0
65,,,58151,LeCwJaoAAAAJ,False,Genetics|Immunology|Bioinformatics|HIV|HCV,Richard A Lempicki,https://scholar.google.com/citations?view_op=medium_photo&user=LeCwJaoAAAAJ,0,0
66,UCL and The Royal Free London NHS Foundation Trust,@ucl.ac.uk,58132,34LYhlMAAAAJ,False,Hepatology|Gastroenterology|Immunology,William M. Rosenberg OR W. Rosenberg OR WMC Rosenberg OR William Rosenberg OR WM Rosenberg,https://scholar.google.com/citations?view_op=medium_photo&user=34LYhlMAAAAJ,0,0
67,"Professor of Chemistry Emeritus, Stanford University",@uoregon.edu,57895,up4EpJoAAAAJ,False,Physical chemistry|biophysics|membrane structure|immunology,Harden M. McConnell,https://scholar.google.com/citations?view_op=medium_photo&user=up4EpJoAAAAJ,0,0
68,"Research Assistant Professor, UIC",@uic.edu,57499,IeqPtU8AAAAJ,False,Immunology|Rheumatoid arthritis|Asthma|autoimmune disease,Seung-jae Kim,https://scholar.google.com/citations?view_op=medium_photo&user=IeqPtU8AAAAJ,0,0
69,oxford university,@path.ox.ac.uk,57309,2AiIOTgAAAAJ,False,immunology,HERMAN WALDMANN,https://scholar.google.com/citations?view_op=medium_photo&user=2AiIOTgAAAAJ,0,0
70,"Vaccine Research Center, NIAID, NIH",@nih.gov,57244,EskAJY0AAAAJ,False,Vaccines|Immunology|Flow Cytometry|Technology|HIV,Mario Roederer,https://scholar.google.com/citations?view_op=medium_photo&user=EskAJY0AAAAJ,0,0
71,Dana Farber Cancre Institute,@dfci.harvard.edu,57228,cpfGOFYAAAAJ,False,Immunology,Ellis Reinherz,https://scholar.google.com/citations?view_op=medium_photo&user=cpfGOFYAAAAJ,0,0
72,professor,@hms.harvard.edu,56911,0HRt6uoAAAAJ,False,microbiology|immunology|molecular biology|and bacterial cell biology,john mekalanos,https://scholar.google.com/citations?view_op=medium_photo&user=0HRt6uoAAAAJ,0,0
73,Weil-Granat Professor of Neurology at Columbia University,@cumc.columbia.edu,56708,kA8Kyz0AAAAJ,False,genetics|immunology|multiple sclerosis|Alzheimer|systems biology,Philip L. De Jager,https://scholar.google.com/citations?view_op=medium_photo&user=kA8Kyz0AAAAJ,0,0
74,Harvard Medical School,@hms.harvard.edu,56095,9sIHNxEAAAAJ,False,immunology,Ulrich H. von Andrian,https://scholar.google.com/citations?view_op=medium_photo&user=9sIHNxEAAAAJ,0,0
75,Karolinska Institutet,@ki.se,55025,MIvb8RAAAAAJ,False,immunology|molecular biology|cell biology|genetics,CIE Smith,https://scholar.google.com/citations?view_op=medium_photo&user=MIvb8RAAAAAJ,0,0
76,Seattle BioMed,@seattlebiomed.org,54530,jjMn92sAAAAJ,False,immunology|pathogenesis|systems biology,Alan Aderem,https://scholar.google.com/citations?view_op=medium_photo&user=jjMn92sAAAAJ,0,0
77,Los Alamos National Laboratory,@lanl.gov,53875,wFMWxAIAAAAJ,False,HIV|immunology|vaccines|evolution,Bette Korber,https://scholar.google.com/citations?view_op=medium_photo&user=wFMWxAIAAAAJ,0,0
78,"Professor of Respiratory Medicine & Allergy, Imperial College London",@imperial.ac.uk,53761,PqTmYnsAAAAJ,False,Respiratory Medicine|Allergy|Infectious Disease|Immunology,Sebastian L Johnston,https://scholar.google.com/citations?view_op=medium_photo&user=PqTmYnsAAAAJ,0,0
79,"Professor, Washington University",@wusm.wustl.edu,53419,VBgE9FcAAAAJ,False,Virology|Immunology|Infectious Diseases,Michael S. Diamond,https://scholar.google.com/citations?view_op=medium_photo&user=VBgE9FcAAAAJ,0,0
80,"Professor of Psychiatry, Université Paris Est Créteil",@inserm.fr,53404,oouUizwAAAAJ,False,Psychiatry|genetics|immunology|brain imaging,marion Leboyer,https://scholar.google.com/citations?view_op=medium_photo&user=oouUizwAAAAJ,0,0
81,"Professor, Department Biological sciences, Tata Institute of Fundamental Research",,52867,bHJwWmYAAAAJ,False,parasite biology|immunology|molecular biology,Shobhona Sharma,https://scholar.google.com/citations?view_op=medium_photo&user=bHJwWmYAAAAJ,0,0
82,"Gardiner Professor of Immunology, University of Glasgow, UK",@glasgow.ac.uk,52794,yfMaqUoAAAAJ,False,Immunology|inflammation|infection|nitric oxide|cytokines,Foo Yew Liew,https://scholar.google.com/citations?view_op=medium_photo&user=yfMaqUoAAAAJ,0,0
83,"Retired--Formerly NIH, MedImmune, MacroGenics and PAREXEL",,52613,1v9vBjEAAAAJ,False,Rheumatology|Immunology,Ronald L Wilder,https://scholar.google.com/citations?view_op=medium_photo&user=1v9vBjEAAAAJ,0,0
84,"Professor of Pediatrics, Cincinnati Children's Hospital Medical Center",@cchmc.org,51998,CUMkMnUAAAAJ,False,Immunology|Genetics|Allergy|Pediatrics,"Marc E. Rothenberg, MD, PhD",https://scholar.google.com/citations?view_op=medium_photo&user=CUMkMnUAAAAJ,0,0
85,"university of utah, Mayo clinic",@hsc.utah.edu,51894,a_2KbzEAAAAJ,False,immunology,Gerald Gleich,https://scholar.google.com/citations?view_op=medium_photo&user=a_2KbzEAAAAJ,0,0
86,"Professor of Medicine, Harvard University",@research.bwh.harvard.edu,51716,X6sP4F8AAAAJ,False,immunology|rheumatology,Michael Brenner,https://scholar.google.com/citations?view_op=medium_photo&user=X6sP4F8AAAAJ,0,0
87,Professor,@rockefeller.edu,50590,ExnK51wAAAAJ,False,Dermatology|immunology|cell biology|skin biology,James Krueger,https://scholar.google.com/citations?view_op=medium_photo&user=ExnK51wAAAAJ,0,0
88,"Professor of Immunology, Madrid",@cnb.csic.es,50335,KEkdzH4AAAAJ,False,Immunology,Carlos Martínez,https://scholar.google.com/citations?view_op=medium_photo&user=KEkdzH4AAAAJ,0,0
89,"Professor of Pathology, University of Brescia",@med.unibs.it,49830,0bI7H5UAAAAJ,False,Immunology,Silvano Sozzani,https://scholar.google.com/citations?view_op=medium_photo&user=0bI7H5UAAAAJ,0,0
90,"Pathology, University of Cambridge",@cam.ac.uk,49444,oKOfAl4AAAAJ,False,Immunology,John Trowsdale,https://scholar.google.com/citations?view_op=medium_photo&user=oKOfAl4AAAAJ,0,0
91,Immunology,@jhmi.edu,48344,5m8_XiEAAAAJ,False,Cancer|Immunotherapy|Immunology|Prostate Cancer|Kidney Cancer,Charles G. Drake,https://scholar.google.com/citations?view_op=medium_photo&user=5m8_XiEAAAAJ,0,0
92,"Academic Medical Centre, and AIMM therapeutics, Amsterdam",@amc.uva.nl,48153,4BTHrdIAAAAJ,False,Immunology,Hergen Spits,https://scholar.google.com/citations?view_op=medium_photo&user=4BTHrdIAAAAJ,0,0
93,"Professor of Immunology, Weizmann Institute of Science",@weizmann.ac.il,47880,islxto4AAAAJ,False,Immunology|ImmunoGenomics|Single Cell Genomics|Systems Immunology|Immunotherapy,Ido Amit,https://scholar.google.com/citations?view_op=medium_photo&user=islxto4AAAAJ,0,0
94,Professor of Medicine,@ugent.be,47697,I7S5MxQAAAAJ,False,Immunology|Pulmonary Medicine,Bart N Lambrecht,https://scholar.google.com/citations?view_op=medium_photo&user=I7S5MxQAAAAJ,0,0
95,"Professor, Garvan institute",@garvan.org.au,46943,qfyLU2IAAAAJ,False,Immunology,jonathan sprent,https://scholar.google.com/citations?view_op=medium_photo&user=qfyLU2IAAAAJ,0,0
96,The Walter and Eliza Hall Institute,@wehi.edu.au,46828,MH2y26gAAAAJ,False,Immunology|Dendritic Cell Biology,Ken Shortman,https://scholar.google.com/citations?view_op=medium_photo&user=MH2y26gAAAAJ,0,0
97,,@tsinghua.edu.cn,46497,6GA62U8AAAAJ,False,immunology|inflammation|T cell differentiation,Chen Dong,https://scholar.google.com/citations?view_op=medium_photo&user=6GA62U8AAAAJ,0,0
98,MOMA Therapeutics,@aksoy.org,46027,GPRquTYAAAAJ,False,Computational Biology|Genetics|Bioinformatics|Molecular Biology|Immunology,Bulent Arman Aksoy,https://scholar.google.com/citations?view_op=medium_photo&user=GPRquTYAAAAJ,0,0
99,"Professor and Chair of Department of Surgery and Cancer Center Director, University of …",@ucdenver.edu,45817,Ya9MUH4AAAAJ,False,Surgery|Immunology|Oncology|Pancreatic Disease,Richard Schulick,https://scholar.google.com/citations?view_op=medium_photo&user=Ya9MUH4AAAAJ,0,0
100,Mount Sinai school of medicine,@mssm.edu,45550,BwnLjw0AAAAJ,False,Immunology,Miriam Merad,https://scholar.google.com/citations?view_op=medium_photo&user=BwnLjw0AAAAJ,0,0
101,"Associate Professor, Icahn School of Medicine at Mount Sinai",@mssm.edu,45263,n3vpktQAAAAJ,False,Microbiome|Computational Biology|Machine Learning|Bioinformatics|Immunology,Jose C. Clemente,https://scholar.google.com/citations?view_op=medium_photo&user=n3vpktQAAAAJ,0,0
102,professor harvard medical school,,45200,9lCAkb8AAAAJ,False,immunology,craig gerard,https://scholar.google.com/citations?view_op=medium_photo&user=9lCAkb8AAAAJ,0,0
103,"University of Cincinnati, Cincinnati Children's",@ucmail.uc.edu,45013,9rHWzH4AAAAJ,False,Immunology|Rheumatology|Allergy,Fred Finkelman,https://scholar.google.com/citations?view_op=medium_photo&user=9rHWzH4AAAAJ,0,0
