,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
122749,Climate change. adaptation. and phenotypic plasticity: the problem and the evidence,2014,Juha Merilä and Andrew P Hendry,7,Evolutionary applications,1,1-14,,,True,cZJ7ifQAAAAJ:tH6gc1N1XXoC,772,,7083361086186661825,/scholar?cites=7083361086186661825,,,0,0,0
122750,Heritable variation and evolution under favourable and unfavourable conditions,1999,Ary A Hoffmann and Juha Merilä,14,,3,96-101,Elsevier Current Trends,,True,cZJ7ifQAAAAJ:WZBGuue-350C,686,,702878978477127097,/scholar?cites=702878978477127097,,,0,0,0
122751,Detecting and managing fisheries-induced evolution,2007,Anna Kuparinen and Juha Merilä,22,,12,652-659,Elsevier Current Trends,,True,cZJ7ifQAAAAJ:W7OEmFMy1HYC,490,,3775741727537693917,/scholar?cites=3775741727537693917,,,0,0,0
122752,Comparative studies of quantitative trait and neutral marker divergence: a meta‐analysis,2008,Tuomas Leinonen and Robert B O’HARA and José Manuel Cano and Juha Merilä,21,,1,1-17,Blackwell Publishing Ltd,,True,cZJ7ifQAAAAJ:qjMakFHDy7sC,452,,1473261314411763866,/scholar?cites=1473261314411763866,,,0,0,0
122753,Genetic architecture of fitness and nonfitness traits: empirical patterns and development of ideas,1999,Juha Merilä and Ben C Sheldon,83,,2,103-109,Nature Publishing Group,,True,cZJ7ifQAAAAJ:u-x6o8ySG0sC,430,,15402797450602896899,/scholar?cites=15402797450602896899,,,0,0,0
122754,Explaining stasis: microevolutionary studies in natural populations,2001,J Merilä and BC Sheldon and LEB Kruuk,112,,1,199-222,Kluwer Academic Publishers,,True,cZJ7ifQAAAAJ:9yKSN-GCB0IC,400,,8912673509997915123,/scholar?cites=8912673509997915123,,,0,0,0
122755,Paternal genetic contribution to offspring condition predicted by size of male secondary sexual character,1997,Ben C Sheldon and Juha Merilö and ANNA Qvarnström and Lars Gustafsson and Hans Ellegren,264,Proceedings of the Royal Society of London. Series B: Biological Sciences,1380,297-302,The Royal Society,,True,cZJ7ifQAAAAJ:JP7YXuLIOvAC,360,,4778973714066926891,/scholar?cites=4778973714066926891,,,0,0,0
122756,Q ST–F ST comparisons: evolutionary and ecological insights from genomic heterogeneity,2013,Tuomas Leinonen and RJ Scott McCairns and Robert B O'hara and Juha Merilä,14,,3,179-190,Nature Publishing Group,,True,cZJ7ifQAAAAJ:9c2xU6iGI7YC,320,,10297288155049597086,/scholar?cites=10297288155049597086,,,0,0,0
122757,Development of an upper extremity outcome measure: the DASH (disabilities of the arm. shoulder. and head),1996,Pamela L Hudak and Peter C Amadio and Claire Bombardier and Dorcas Beaton and Donald Cole and Aileen Davis and Gillian Hawker and Jeffrey N Katz and Matti Makela and Robert G Marx and Laura Punnett and James Wright,29,American journal of industrial medicine,6,602-608,Wiley Subscription Services. Inc.. A Wiley Company,,True,qYsb4KsAAAAJ:u5HHmVD_uO8C,4703,,13012628092354430401,/scholar?cites=13012628092354430401,,,0,0,0
122758,The burden of musculoskeletal conditions at the start of the new millennium: report of a WHO scientific group.,2003,World Health Organization,,,,,,,True,qYsb4KsAAAAJ:K4-iKlO5MD4C,682,,6445021723132901919,/scholar?cites=6445021723132901919,,,0,0,0
122759,Consensus criteria for the classification of carpal tunnel syndrome in epidemiologic studies.,1998,David Rempel and Bradley Evanoff and Peter C Amadio and Marc De Krom and Gary Franklin and Alfred Franzblau and Ron Gray and Fredric Gerr and Mats Hagberg and Thomas Hales and Jeffrey N Katz and Glenn Pransky,88,,10,1447-1451,American Public Health Association,,True,qYsb4KsAAAAJ:d1gkVwhDpl0C,653,,9111249055246586453,/scholar?cites=9111249055246586453,,,0,0,0
122760,The American academy of orthopaedic surgeons outcomes instruments: normative values from the general population,2002,Frank G Hunsaker and Dominic A Cioffi and Peter C Amadio and James G Wright and Beth Caughlin,84,JBJS,2,208-215,LWW,,True,qYsb4KsAAAAJ:qjMakFHDy7sC,648,,4302961817911084628,/scholar?cites=4302961817911084628,,,0,0,0
122761,Open reduction and internal fixation of displaced. comminuted intra-articular fractures of the distal end of the radius,1989,John K Bradway and Peter C Amadio and William P Cooney,71,J Bone Joint Surg Am,6,839-47,,,True,qYsb4KsAAAAJ:u-x6o8ySG0sC,610,,16554064861672013336,/scholar?cites=16554064861672013336,,,0,0,0
122762,Scaphoid malunion,1989,Peter C Amadio and Thomas H Berquist and Douglas K Smith and Duane M Ilstrup and William P Cooney III and Ronald L Linscheid,14,The Journal of hand surgery,4,679-687,WB Saunders,,True,qYsb4KsAAAAJ:2osOgNQ5qMEC,528,,18086387688147978915,/scholar?cites=18086387688147978915,,,0,0,0
122763,Perilunate dislocations and fracture-dislocations: a multicenter study,1993,G Herzberg and JJ Comtet and RL Linscheid and PC Amadio and WP Cooney and J Stalder,18,The Journal of hand surgery,5,768-779,WB Saunders,,True,qYsb4KsAAAAJ:9yKSN-GCB0IC,486,,15008086704130196902,/scholar?cites=15008086704130196902,,,0,0,0
122764,Work-related cumulative trauma disorders of the upper extremity,1992,David M Rempel and Robert J Harrison and Scott Barnhart,267,,6,838-842,American Medical Association,,True,qYsb4KsAAAAJ:Ade32sEp0pkC,436,,2669685965437377518,/scholar?cites=2669685965437377518,,,0,0,0
122765,Reviews of evidence regarding interventions to reduce tobacco use and exposure to environmental tobacco smoke,2001,David P Hopkins and Peter A Briss and Connie J Ricard and Corinne G Husten and Vilma G Carande-Kulis and Jonathan E Fielding and Mary O Alao and Jeffrey W McKenna and Donald J Sharp and Jeffrey R Harris and Trevor A Woollery and Kate W Harris and Task Force on Community Preventive Services,20,,2,16-66,Elsevier,,True,qYsb4KsAAAAJ:FsLZdJ3BAzkC,299,,5579493076790261013,/scholar?cites=5579493076790261013,,,0,0,0
