,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
440440,Doktor Ilmu Manajemen,,839,8hyrGsoAAAAJ,{'indices'},,Kasnaeny Karim,,746,5,5,4,4,0,0
440441,universitas Mulawarman,,247,I4jKDe4AAAAJ,{'indices'},,Musdalifah Azis,,237,6,6,4,4,0,0
440442,STIE Amkop Makassar,,16,6Gx5RfgAAAAJ,{'indices'},,Sri Rahmi,,16,1,1,1,1,0,0
440443,Universitas Indonesia,,186,zCVnkDUAAAAJ,{'indices'},,Ismail Hadisoebroto dilogo,,174,7,7,6,6,0,0
440444,Dosen Universitas Sam Ratulangi,,20,aCwfhIwAAAAJ,{'indices'},,Rangga Rawung,,19,2,2,1,1,0,0
440445,Universitas Muslim Indonesia,,42,m-UPdyQAAAAJ,{'indices'},,Suriyanti Mangkona,,42,4,4,1,1,0,0
440446,Universitas Diponegoro,,194,AZ2aIQ8AAAAJ,{'indices'},,Frida Purwanti,,183,7,6,3,2,0,0
440447,Diponegoro University,,959,5N2KHDMAAAAJ,{'indices'},,Sutrisno Anggoro,,793,13,12,28,19,0,0
440448,"Department of Management, Hasanuddin University",,20,ak6oa8QAAAAJ,{'indices'},,Muhammad Sobarsyah,,20,3,3,0,0,0,0
440449,Sekolah Tinggi Ilmu Hukum Pengayoman,,150,19eH04MAAAAJ,{'indices'},,Yusriadi,,150,6,6,3,3,0,0
440450,Associate Professor/Dr.rer.nat at School of Pharmacy ITB,,176,koEBXtAAAAAJ,{'indices'},,Sophi Damayanti,,163,7,6,4,4,0,0
440451,"Professor in ICT & Governance, Faculty of Technology, Policy and Management, Delft University of",,17827,BZocCJwAAAAJ,{'indices'},,Marijn Janssen,,12256,67,55,262,194,0,0
440452,University of Oklahoma,,2459,80TyJSQAAAAJ,{'indices'},,Shaila Miranda,,698,18,12,25,14,0,0
440453,University of Tennessee,,113,CWgvRIEAAAAJ,{'indices'},,Jama D. Summers,,97,6,5,4,3,0,0
440454,Doctoral Student in Information Systems,,21,wVmKqsYAAAAJ,{'indices'},,Ari Wigdor,,21,3,3,1,1,0,0
440455,"Professor of Information Systems, University of Auckland",,33810,b-UjznkAAAAJ,{'indices'},,Michael D. Myers,,13689,46,36,87,62,0,0
440456,"Lecturer, University of Southampton",,96,48CZqmAAAAAJ,{'indices'},,Hameed Chughtai,,83,5,5,3,2,0,0
440457,"Professor, Information Systems, University of Hawaii",,5048,IoQT0bMAAAAJ,{'indices'},,Elizabeth Davidson,,2347,29,20,56,35,0,0
440458,"Professor of Information Systems, Boston College",,6857,5ZgkPp0AAAAJ,{'indices'},,Gerald C (Jerry) Kane,,4970,34,30,53,43,0,0
440459,"Texas A&M University, Mays Business School",,102,Xql6pMgAAAAJ,{'indices'},,Jordana J. George,,102,6,6,4,4,0,0
440460,"Professor of Information Systems, McGill University",,4987,8jLRml0AAAAJ,{'indices'},,Emmanuelle Vaast,,2420,29,22,51,33,0,0
440461,"W.P. Wood Professor of MIS, University of Oklahoma",,4680,5jXfFHsAAAAJ,{'indices'},,Laku Chidambaram,,1008,22,14,35,18,0,0
440462,"Associate Professor, University of Gothenburg",,631,s7iA_lMAAAAJ,{'indices'},,Lisen Selander,,474,9,8,9,8,0,0
440463,Bentley University,,1450,d2UnwrQAAAAJ,{'indices'},,Janis Gogan,,343,20,11,31,11,0,0
