Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
30617,"Department of Computer Science, Baylor University",@baylor.edu,4811,ve6wKQYAAAAJ,{'indices'},Database Systems|Data Mining|Natural Language Processing|Health Informatics|Information Retrieval,King Ip Lin,https://scholar.google.com/citations?view_op=medium_photo&user=ve6wKQYAAAAJ,606,21,9,26,9,0,1
30618,"Murdoch University, Perth, Western Australia",@murdoch.edu.au,4810,ftBKWiUAAAAJ,{'indices'},Computational Intelligence|Machine Learning|Data Mining|Virtual Reality|ELearning,Kevin Kok Wai Wong,https://scholar.google.com/citations?view_op=medium_photo&user=ftBKWiUAAAAJ,2226,28,19,95,40,0,1
30619,Google,@google.com,4807,JVy9kp8AAAAJ,{'indices'},Data Mining|Database Systems,Dong Xin,https://scholar.google.com/citations?view_op=medium_photo&user=JVy9kp8AAAAJ,1611,33,21,44,31,0,1
30620,Universite de Louvain,@uclouvain.be,4795,88wsnX8AAAAJ,{'indices'},Pattern recognition|data mining|machine learning|network science|artificial intelligence,Marco Saerens,https://scholar.google.com/citations?view_op=medium_photo&user=88wsnX8AAAAJ,1936,32,22,63,34,0,1
30621,"Graduate School of Information Science and Technology, Hokkaido University, Professor",@ist.hokudai.ac.jp,4794,wPxdBKsAAAAJ,{'indices'},computer science|data mining|information retrieval|machine learning|algorithms and data structures,Hiroki Arimura,https://scholar.google.com/citations?view_op=medium_photo&user=wPxdBKsAAAAJ,1078,26,13,71,16,0,1
30622,"Professor of Computer Science, Sabanci University",@sabanciuniv.edu,4788,2hVUXWMAAAAJ,{'indices'},Data Mining|Privacy,Yucel Saygin,https://scholar.google.com/citations?view_op=medium_photo&user=2hVUXWMAAAAJ,1568,28,18,56,30,0,1
30623,"Researcher, Stanford University",@cs.stanford.edu,4775,DnNEaOIAAAAJ,{'indices'},Data Privacy|Databases|Data Mining|Data Streams,Dilys Thomas,https://scholar.google.com/citations?view_op=medium_photo&user=DnNEaOIAAAAJ,1236,21,17,26,18,0,1
30624,TU Wien (Technical University of Vienna),@tuwien.ac.at,4764,sOI8QyoAAAAJ,{'indices'},Machine Learning|Data Mining,Thomas Gärtner,https://scholar.google.com/citations?view_op=medium_photo&user=sOI8QyoAAAAJ,1697,23,17,40,25,0,1
30625,LinkedIn,@linkedin.com,4752,e4SLWj8AAAAJ,{'indices'},Location Based Social Networks|Location Prediction|Location Recommendation|Data Mining|Social Computing,Huiji Gao,https://scholar.google.com/citations?view_op=medium_photo&user=e4SLWj8AAAAJ,3370,25,23,31,30,0,1
30626,Stanford University,@stanford.edu,4746,zuxHjnAAAAAJ,{'indices'},machine learning|social networks|big data|data mining|Twitter,Seth Myers,https://scholar.google.com/citations?view_op=medium_photo&user=zuxHjnAAAAAJ,3213,7,7,7,7,0,1
30627,Baidu Research,@baidu.com,4742,pu00nBoAAAAJ,{'indices'},Data Science|Big Data|Deep Learning|Data Mining|Bioinformatics,Jun (Luke)  Huan,https://scholar.google.com/citations?view_op=medium_photo&user=pu00nBoAAAAJ,1940,30,20,63,39,0,1
30628,"Google, Inc.",@google.com,4740,l_O64B8AAAAJ,{'indices'},Machine Learning|Data Mining,D. Sculley,https://scholar.google.com/citations?view_op=medium_photo&user=l_O64B8AAAAJ,3566,28,24,40,34,0,1
30629,Nanyang Technological university,@ntu.edu.sg,4731,QsIlHqkAAAAJ,{'indices'},data mining|information retrieval|machine learning,Xing Jiang,https://scholar.google.com/citations?view_op=medium_photo&user=QsIlHqkAAAAJ,3522,38,35,86,75,0,1
30630,"Professor of Architectural Engineering, Chung-Ang University",@cau.ac.kr,4719,B3YJUKgAAAAJ,{'indices'},automation in construction|data mining|3D vision,Kim Changwan,https://scholar.google.com/citations?view_op=medium_photo&user=B3YJUKgAAAAJ,3012,40,32,86,65,0,1
30631,"CTO, Curai",@amatriain.net,4709,YYUK51oAAAAJ,{'indices'},AI|Machine Learning|Healthcare|Recommender Systems|Data Mining,Xavier Amatriain,https://scholar.google.com/citations?view_op=medium_photo&user=YYUK51oAAAAJ,2281,29,21,53,27,0,1
30632,"Professeur, Université de Cergy Pontoise",@u-cergy.fr,4705,ZTwJqYkAAAAJ,{'indices'},databases|data mining|data warehousing,Dominique Laurent,https://scholar.google.com/citations?view_op=medium_photo&user=ZTwJqYkAAAAJ,1348,38,21,115,43,0,1
