,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
127298,GlaxoSmithkline,@gsk.com,681,ZuxNNqkAAAAJ,{'indices'},Science,Sonia Lozano,https://scholar.google.com/citations?view_op=medium_photo&user=ZuxNNqkAAAAJ,360,9,8,8,7,0,0
127299,Nanyang Technological University,@ntu.edu.sg,679,Xt4Ij18AAAAJ,{'indices'},Engineering|Science,Zhanfei Huang,https://scholar.google.com/citations?view_op=medium_photo&user=Xt4Ij18AAAAJ,168,14,9,14,7,0,0
127300,ChemAxon,@chemaxon.com,678,-mGbv1oAAAAJ,{'indices'},health|science,Ferenc Csizmadia,https://scholar.google.com/citations?view_op=medium_photo&user=-mGbv1oAAAAJ,184,12,7,13,6,0,0
127301,"Chief Research Scientist, CSIR Science and Technology Policy Research Institute",@csir-stepri.org,673,PdlhnxUAAAAJ,{'indices'},ICT|Science|Technology and Innovation,Godfred Frempong,https://scholar.google.com/citations?view_op=medium_photo&user=PdlhnxUAAAAJ,358,15,12,20,17,0,0
127302,"Leon Root Motion Analysis Laboratory, Hospital for Special Surgery, New York",@hss.edu,668,VwqjfX8AAAAJ,{'indices'},Science|Biomechanics|Shoulder|Modeling,Kontaxis Andreas,https://scholar.google.com/citations?view_op=medium_photo&user=VwqjfX8AAAAJ,461,14,13,16,15,0,0
127303,Marmara University,@marmara.edu.tr,667,p7Zbf0gAAAAJ,{'indices'},Science|Snow boarding|Sky diving,Zafer Akan (https://orcid.org/0000-0002-4150-1720),https://scholar.google.com/citations?view_op=medium_photo&user=p7Zbf0gAAAAJ,393,13,11,15,11,0,0
127304,The ODIN,@the-odin.com,660,lAu-QgMAAAAJ,{'indices'},Science,Josiah Zayner,https://scholar.google.com/citations?view_op=medium_photo&user=lAu-QgMAAAAJ,471,6,6,6,6,0,0
127305,,@wusd.ws,659,bD7MjT0AAAAJ,{'indices'},Science|English|Math|Art|History,Fabian Cortes,https://scholar.google.com/citations?view_op=medium_photo&user=bD7MjT0AAAAJ,367,14,11,23,13,0,0
127306,Student of Geophysichal Engineering,@students.unila.ac.id,658,u_etANEAAAAJ,{'indices'},science|unified field theory|geophysics|environment,Abdulloh Robbani,https://scholar.google.com/citations?view_op=medium_photo&user=u_etANEAAAAJ,79,14,5,23,2,0,0
127307,"STEM, AR, VR Technology",@hu-edu.svu.edu.eg,650,Fy0CwxYAAAAJ,{'indices'},SCIENCE,Khloud Hassan Samman,https://scholar.google.com/citations?view_op=medium_photo&user=Fy0CwxYAAAAJ,480,11,10,11,10,0,0
127308,Student,,647,7JTDZAsAAAAJ,{'indices'},Science,Matthew Kubler,https://scholar.google.com/citations?view_op=medium_photo&user=7JTDZAsAAAAJ,260,13,10,19,10,0,0
127309,"Physician, Research Scientist, Engineer, Oxford University",@merton.oxon.org,645,LQ2BbAQAAAAJ,{'indices'},Science|Technology|Medicine|Venture Capital|Entrepreneurship,Dr. John Lee Allen,https://scholar.google.com/citations?view_op=medium_photo&user=LQ2BbAQAAAAJ,617,14,14,17,17,0,0
127310,مدرس مساعد جامعة النهرين,,643,mogiOmsAAAAJ,{'indices'},science,Soora Hammoudy,https://scholar.google.com/citations?view_op=medium_photo&user=mogiOmsAAAAJ,305,6,6,6,6,0,0
127311,University of Copenhagen,@bio.ku.dk,642,2ee_gRkAAAAJ,{'indices'},Behavior|Neuroscience|microscopy|science,Stanislav Nagy,https://scholar.google.com/citations?view_op=medium_photo&user=2ee_gRkAAAAJ,385,13,13,15,15,0,0
127312,The University of Queensland,@uq.edu.au,639,fUxRcIAAAAAJ,{'indices'},science,Susanna Mantovani,https://scholar.google.com/citations?view_op=medium_photo&user=fUxRcIAAAAAJ,540,13,12,14,12,0,0
127313,University of Exeter; Maastricht University; University of Melbourne,,631,v3XFbycAAAAJ,{'indices'},Science|Technology|Medicine|Sociology|Anthropology,Anna Harris,https://scholar.google.com/citations?view_op=medium_photo&user=v3XFbycAAAAJ,493,14,14,19,16,0,0
127314,INSP,,628,VxeDtxEAAAAJ,{'indices'},Science,Jaime Lagunez,https://scholar.google.com/citations?view_op=medium_photo&user=VxeDtxEAAAAJ,246,8,4,8,2,0,0
127315,,@franklinps.net,625,TKdy55oAAAAJ,{'indices'},Science,Richard Warby,https://scholar.google.com/citations?view_op=medium_photo&user=TKdy55oAAAAJ,377,9,8,9,8,0,0
127316,/ pomology department prof.Dr.NRC,,620,dAQ9a0YAAAAJ,{'indices'},biology|horticulture|science,Omaima M. Hafez,https://scholar.google.com/citations?view_op=medium_photo&user=dAQ9a0YAAAAJ,393,12,10,16,10,0,0
127317,,@icn.usyd.edu.au,619,Sn5kXBkAAAAJ,{'indices'},science|cognition|brain|neuropsychology,Zoe Thayer,https://scholar.google.com/citations?view_op=medium_photo&user=Sn5kXBkAAAAJ,359,14,13,16,14,0,0
127318,University of Life Sciences,@up.lublin.pl,618,FYwrAFAAAAAJ,{'indices'},Science,Adam Bownik,https://scholar.google.com/citations?view_op=medium_photo&user=FYwrAFAAAAAJ,385,15,10,22,10,0,0
127319,"Senior Lecturer, University of Sussex",@sussex.ac.uk,613,YxBd8XUAAAAJ,{'indices'},Networks|Science|Innovation|Social Network Analysis|Multinational firms,Marianna Marra PhD,https://scholar.google.com/citations?view_op=medium_photo&user=YxBd8XUAAAAJ,511,8,8,8,8,0,0
127320,National Research University Higher School of Economics,@hse.ru,609,yrFN8NAAAAAJ,{'indices'},science|technology|innovation|energy|policy,Liliana Proskuryakova,https://scholar.google.com/citations?view_op=medium_photo&user=yrFN8NAAAAAJ,540,13,12,17,14,0,0
