Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
188796,Institut de Planétologie et d'Astrophysique de Grenoble,,7445,W9BZ7jEAAAAJ,{'indices'},Astrophysics,Jean-Baptiste Le Bouquin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SM6NKJ4AAAAJ&citpid=1,5067,43,32,126,94,0,0
188797,"Institute of Astronomy, Cambridge University",,24746,r9_pxHMAAAAJ,{'indices'},Astronomy|star clusters|satellite dynamics,Floor van Leeuwen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r9_pxHMAAAAJ&citpid=2,14793,51,33,109,50,0,0
188798,University of Washington,,107080,daGXM5wAAAAJ,{'indices'},astrophysics,Zeljko Ivezic,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=daGXM5wAAAAJ&citpid=1,31436,138,82,272,222,0,0
188799,"Physics Department, Tsinghua University",,108877,2nZjnKoAAAAJ,{'indices'},supernova|time-domain astronomy|AGN,Xiaofeng Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=daGXM5wAAAAJ&citpid=1,85146,158,129,463,416,0,0
188800,European Southern Observatory,,19804,Gtcs7WIAAAAJ,{'indices'},Astrophysics,Ferdinando Patat,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Gtcs7WIAAAAJ&citpid=3,8080,69,39,163,123,0,0
188801,University of Sheffield,,7970,GOFxPVQAAAAJ,{'indices'},,Justyn Maund,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SlpgZCgAAAAJ&citpid=1,4026,49,35,95,84,0,0
188802,"Professor of Astronomy, University of California, Berkeley",,164678,dTpeWooAAAAJ,{'indices'},supernovae|black holes|cosmology|quasars|astrophysics,Alexei V. FILIPPENKO,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Gtcs7WIAAAAJ&citpid=3,53510,168,91,820,600,0,0
188803,Texas A&M University,,63320,aEz_9EIAAAAJ,{'indices'},Astronomy|astrophysics,Nicholas Suntzeff,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aEz_9EIAAAAJ&citpid=2,17518,105,52,283,181,0,0
188804,"Lawrence Berkeley National Laboratory; University of Oklahoma; University of California, Berkeley",,67797,xJf5H2AAAAAJ,{'indices'},Physics|Astronomy|Computing,Peter Nugent,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xJf5H2AAAAAJ&citpid=2,30707,106,82,346,288,0,0
188805,中国科学院云南天文台(YNAO) 副研究员(Astronomer),,15439,ytTLhDEAAAAJ,{'indices'},Supernova|GRB|AGN|GW|Cosmology,Jujia Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ytTLhDEAAAAJ&citpid=2,6516,55,31,83,66,0,0
188806,Carnegie Institution for Science,,65719,IhvMcPkAAAAJ,{'indices'},supernovae,Mark M. Phillips,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IhvMcPkAAAAJ&citpid=1,19831,101,54,297,203,0,0
188807,"Professor (Astronomy), Stockholm University",,9185,UFmVWPUAAAAJ,{'indices'},Astrophysics,Peter Lundqvist,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IhvMcPkAAAAJ&citpid=1,3221,57,32,124,88,0,0
188808,"Professor of Astronomy, The Australian National University",,55622,KgE0_U4AAAAJ,{'indices'},Astronomy|physics|cosmology,Brian Schmidt,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KgE0_U4AAAAJ&citpid=1,18282,86,53,226,160,0,0
188809,University of Oklahoma,,18230,okN0gJwAAAAJ,{'indices'},Astrophysics|High Performance Computing|Radiative Transfer,E Baron,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KgE0_U4AAAAJ&citpid=1,4766,68,33,203,99,0,0
188810,"Clowes Professor of Science, Harvard University",,79941,LF0aMw4AAAAJ,{'indices'},Observational Cosmology|Supernovae,Robert Kirshner,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LF0aMw4AAAAJ&citpid=2,23646,122,65,381,250,0,0
188811,"Kavli IPMU, The University of Tokyo",,55092,t-5BWKsAAAAJ,{'indices'},Astrophysics,Ken'ichi Nomoto,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LF0aMw4AAAAJ&citpid=2,15104,126,62,430,299,0,0
188812,"Astronomer Emeritus, Space Telescope Science Institute",,58170,Jqgr6uYAAAAJ,{'indices'},supernovae and supernova remnants|stellar winds|stellar populations|diffuse matter in galaxies|cosmology,Nino Panagia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Jqgr6uYAAAAJ&citpid=2,13673,89,39,304,142,0,0
188813,Texas A&M University,,21876,0Y0QaksAAAAJ,{'indices'},Supernovae|Extragalactic transients|Space-based Ultraviolet,Peter J. Brown,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0Y0QaksAAAAJ&citpid=1,13816,56,44,140,116,0,0
188814,Weizmann Institute of Science,,223,8YeyDvwAAAAJ,{'indices'},Astrophysics,Yi Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8YeyDvwAAAAJ&citpid=8,219,9,9,8,8,0,0
188815,"Professor of Astronomy, Liverpool John Moores University",,36823,DX8gJOsAAAAJ,{'indices'},Astrophysics,Paolo A. Mazzali,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DX8gJOsAAAAJ&citpid=2,15930,103,61,313,269,0,0
188816,"Professor of Astronomy, University of Virginia",,33680,6CuibaIAAAAJ,{'indices'},,Roger Chevalier,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SlpgZCgAAAAJ&citpid=1,7894,102,48,269,166,0,0
188817,"Associate professor, Université de Lyon 1",,10383,hk-Y99cAAAAJ,{'indices'},Observational cosmology|integral field spectro-photometry|slitless spectrography,Yannick Copin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hk-Y99cAAAAJ&citpid=2,5290,39,29,60,45,0,0
188818,"Director of research in Cosmology , IN2P3-LPNHE Paris",,32598,1xx_ze4AAAAJ,{'indices'},Cosmology & Particle Physics,Pierre Antilogus,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hk-Y99cAAAAJ&citpid=2,6469,85,38,318,98,0,0
188819,"ARC Future Fellow & Senior Lecturer, Macquarie University",,19880,GpxBbP4AAAAJ,{'indices'},Galaxy Evolution|Stellar Populations|Stellar Dynamics|Supermassive Black Holes,Richard McDermid,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GpxBbP4AAAAJ&citpid=5,11686,63,49,141,122,0,0
188820,"Professor of Astrophysics, University of Oxford",,27953,HODNYCEAAAAJ,{'indices'},Astrophysics,Michele Cappellari,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HODNYCEAAAAJ&citpid=8,16387,80,62,185,160,0,0
188821,"Hoogleraar sterrenkunde, Rijksuniversiteit Groningen",,25515,nJf9O08AAAAJ,{'indices'},sterrenkunde|astrofysica|astronomy|astronomical data science|computer science,Reynier Peletier,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HODNYCEAAAAJ&citpid=8,8907,77,44,216,146,0,0
188822,Physics & Astronomy University of Waterloo,,18351,n-qG5dMAAAAJ,{'indices'},Astrophysics,brian mcnamara,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HODNYCEAAAAJ&citpid=8,6769,67,45,174,125,0,0
188823,University of Alberta,,5587,lpAFRtQAAAAJ,{'indices'},Astrophysics|X-Ray Binaries|Black Holes|Neutron Stars,Gregory R. Sivakoff,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lpAFRtQAAAAJ&citpid=2,3292,42,33,108,90,0,0
188824,Smithsonian Astrophysical Observatory,,42697,DF0NQfoAAAAJ,{'indices'},X-ray astronomy galaxy clusters,William Forman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lpAFRtQAAAAJ&citpid=2,12129,111,58,360,234,0,0
188825,"Professor of Physics and Astronomy, Michigan State University",,20502,FKIFfHYAAAAJ,{'indices'},Clusters of galaxies|Cosmology|Galaxy Evolution|Astronomy Education,Megan Donahue,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FKIFfHYAAAAJ&citpid=4,8794,72,47,197,143,0,0
188826,Universidad Adolfo Ibáñez,,15351,OKfYDv0AAAAJ,{'indices'},Exoplanets|protoplanetary and debris disks|early-type galaxies|globular clusters,Andrés Jordán,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FKIFfHYAAAAJ&citpid=4,7568,63,46,175,152,0,0
