Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
54945,National Bureau of Plant Genetic Resources,@icar.gov.in,517,2f4J4pwAAAAJ,{'indices'},Genetic Diversity|Botany|Genetics,V Kamala,https://scholar.google.com/citations?view_op=medium_photo&user=2f4J4pwAAAAJ,304,13,9,15,8,0,0
54946,"Internal Medicine Resident, Beth Israel Deaconess Medical Center, Harvard Medical School",@uchicago.edu,517,jfYCliAAAAAJ,{'indices'},Breast cancer|type 2 diabetes|genetics|nutrition|cardiovascular disease,Frank Qian,https://scholar.google.com/citations?view_op=medium_photo&user=jfYCliAAAAAJ,508,13,13,14,14,0,0
54947,"Karolinska Institutet, Sweden",@ki.se,517,8ie6FGcAAAAJ,{'indices'},Eating Disorders|Epidemiology|Genetics,Shuyang Yao,https://scholar.google.com/citations?view_op=medium_photo&user=8ie6FGcAAAAJ,508,10,10,11,11,0,0
54948,"Head of the Department of Medical Genetics, NRCRM, and Professor at the Chair of Internal …",@amnu.gov.ua,517,EYDtv0gAAAAJ,{'indices'},hematology|genetics,Klymenko Sergiy,https://scholar.google.com/citations?view_op=medium_photo&user=EYDtv0gAAAAJ,341,9,7,9,4,0,0
54949,"Lecturer of Biochemistry and Molecular Biology, School of Biological Sciences, University of …",@uonbi.ac.ke,516,IYET2lAAAAAJ,{'indices'},Genetics|Molecular Biology,Antony AC Otieno,https://scholar.google.com/citations?view_op=medium_photo&user=IYET2lAAAAAJ,265,12,9,13,9,0,0
54950,"Associate professor of molecular genetics, Laboratory medical sciences, Alaqsa University",@alaqsa.edu.ps,516,duV_4M4AAAAJ,{'indices'},Molecular biology|genetics|molecular diagnosis,Basim Mohammad Ayesh,https://scholar.google.com/citations?view_op=medium_photo&user=duV_4M4AAAAJ,232,11,8,11,6,0,0
54951,"Senior Postdoctoral Research Scientist, The Pirbright Institute",@pirbright.ac.uk,516,kOKaTAQAAAAJ,{'indices'},genetics|molecular biology|arbovirology|parasitology|molecular entomology,Sanjay Basu,https://scholar.google.com/citations?view_op=medium_photo&user=kOKaTAQAAAAJ,375,6,6,6,5,0,0
54952,"Product Manager, Thermo Fisher Scientific",@lifetech.com,515,bAhdt6UAAAAJ,{'indices'},genetics|genomics|sequencing|next generation|exome,Colin J. Davidson,https://scholar.google.com/citations?view_op=medium_photo&user=bAhdt6UAAAAJ,161,8,7,7,7,0,0
54953,Johns Hopkins University,@jhu.edu,515,65VObDAAAAAJ,{'indices'},Epidemiology|Chronic Disease|Genetics|Environmental Health,Poojitha Balakrishnan,https://scholar.google.com/citations?view_op=medium_photo&user=65VObDAAAAAJ,438,10,10,10,10,0,0
54954,Université de Montréal,@umontreal.ca,515,MAJcJD8AAAAJ,{'indices'},genomics|genetics|molecular biology|systems biology|aging,Dariel Ashton-Beaucage,https://scholar.google.com/citations?view_op=medium_photo&user=MAJcJD8AAAAJ,254,8,7,8,6,0,0
54955,VA Palo Alto Healthcare System / Stanford University,@stanford.edu,515,-dxTREUAAAAJ,{'indices'},Innovation|Genetics|Cost effectiveness|Value|Global Health,Nell Marshall,https://scholar.google.com/citations?view_op=medium_photo&user=-dxTREUAAAAJ,276,10,9,11,9,0,0
54956,"PhD in Genetics, Monash University",@monash.edu,514,-rYXnwIAAAAJ,{'indices'},Genetics|Genetic Counselling|Public Health,Liane Ioannou,https://scholar.google.com/citations?view_op=medium_photo&user=-rYXnwIAAAAJ,424,13,11,17,15,0,0
54957,Université Saint Joseph,@usj.edu.lb,514,c3V0ZBoAAAAJ,{'indices'},biodiversity|conservation|phylogeography|Lebanon|genetics,Magda Bou Dagher,https://scholar.google.com/citations?view_op=medium_photo&user=c3V0ZBoAAAAJ,442,14,13,20,18,0,0
54958,University of the Basque Country (UPV/EHU),@ehu.eus,514,I3rHkEUAAAAJ,{'indices'},Childhood cancer|Leukemia|Genetics|miRNAs|circRNAs,Angela Gutierrez-Camino,https://scholar.google.com/citations?view_op=medium_photo&user=I3rHkEUAAAAJ,484,14,14,16,16,0,0
54959,"PhD Student, EPFL",@epfl.ch,513,Y0ZRxckAAAAJ,{'indices'},molecular biology|epigenetics|genetics|gene therapy|cancer,Nathaly Castro-Diaz,https://scholar.google.com/citations?view_op=medium_photo&user=Y0ZRxckAAAAJ,368,8,8,8,8,0,0
54960,Universitatea de Medicina,,513,9_5G17MAAAAJ,{'indices'},biochemistry|genetics,procopciuc lucia,https://scholar.google.com/citations?view_op=medium_photo&user=9_5G17MAAAAJ,211,13,7,17,5,0,0
54961,"Scientist, Indian Institute of Rice Research, Hyderabad",,513,ed7hiikAAAAJ,{'indices'},Genetics|Plant Breeding and Biotechnology,Suneetha Kota,https://scholar.google.com/citations?view_op=medium_photo&user=ed7hiikAAAAJ,398,10,8,10,8,0,0
54962,Assoc. Prof. Mendelova univerzita v Brně,@mendelu.cz,512,mCF3Nj8AAAAJ,{'indices'},statistics|econometrics|statistical computing|genetics,Václav Adamec,https://scholar.google.com/citations?view_op=medium_photo&user=mCF3Nj8AAAAJ,202,10,8,10,8,0,0
54963,IAEP Institute Alas for Education and Research,,512,dDQNT_AAAAAJ,{'indices'},Neuroscience|hybrid intelligence|artificial intelligence|genetics|environmental stress and gene regulation.,Renato Alas,https://scholar.google.com/citations?view_op=medium_photo&user=dDQNT_AAAAAJ,233,3,2,2,2,0,0
54964,"Postdoc Genetics, University Medical Center Groningen",@umcg.nl,512,HegaPNwAAAAJ,{'indices'},Single cell omics|Genetics|Epigenetics|Mitochondria|Oxidative Stress,Monique van der Wijst,https://scholar.google.com/citations?view_op=medium_photo&user=HegaPNwAAAAJ,496,12,12,13,13,0,0
54965,Federal University of Paraíba (Adjunct Professor),@ccae.ufpb.br,512,WfY8xecAAAAJ,{'indices'},Molecular Biology|Genetics|Viruses,Ana Pavla Almeida Diniz Gurgel,https://scholar.google.com/citations?view_op=medium_photo&user=WfY8xecAAAAJ,330,11,10,12,10,0,0
54966,King Abdulaziz University,@kau.edu.sa,511,UawBJy8AAAAJ,{'indices'},Genetics|Genomics|Bioinformatics|Computational biology|Clinical Bioinformatics,Dr. Babajan B,https://scholar.google.com/citations?view_op=medium_photo&user=UawBJy8AAAAJ,385,14,12,20,18,0,0
54967,"MD, Ph. D., Associate Professor, Consultant Orthopaedic Surgeon",@inet.hr,511,nfjx_VkAAAAJ,{'indices'},Orthopaedics|Osteoarthritis|Genetics|Wrist Arthroscopy,Zdravko Jotanovic,https://scholar.google.com/citations?view_op=medium_photo&user=nfjx_VkAAAAJ,309,11,9,12,8,0,0
54968,UCL School of Pharmacy,@ucl.ac.uk,510,zR5EE4sAAAAJ,{'indices'},Genetics|neuroscience|molecular modeling,Victoria M James (now Edwards),https://scholar.google.com/citations?view_op=medium_photo&user=zR5EE4sAAAAJ,402,9,9,9,9,0,0
54969,Instituto de Genética Humana. Pontificia Universidad Javeriana,@javeriana.edu.co,510,pqUvahEAAAAJ,{'indices'},Medicine|Bioethics|Genetics|Bioinformatics|Epidemiology,Fernando Suárez-Obando. https://orcid.org/0000-0001-6336-5347,https://scholar.google.com/citations?view_op=medium_photo&user=pqUvahEAAAAJ,374,12,10,13,10,0,0
54970,"Fellow in Pulmonary & Critical Care Medicine, MGH",@partners.org,510,NMsDY14AAAAJ,{'indices'},Evolution|Immunobiology|Genetics|Cell Biology,Daniel Okin,https://scholar.google.com/citations?view_op=medium_photo&user=NMsDY14AAAAJ,283,7,6,6,4,0,0
54971,"Assistant professor of genetics, Kuwait university",@ku.edu.kw,510,45rEsjoAAAAJ,{'indices'},genetics|population genetics,Hasan Alhaddad,https://scholar.google.com/citations?view_op=medium_photo&user=45rEsjoAAAAJ,336,12,10,13,10,0,0
54972,"Murdoch University, Department of Primary Industries and Regional Development WA",@murdoch.edu.au,510,Pj1qJSkAAAAJ,{'indices'},Disease Resistance|Plant Pathology|Genetics,Sanjiv Gupta,https://scholar.google.com/citations?view_op=medium_photo&user=Pj1qJSkAAAAJ,186,12,8,14,6,0,0
54973,"Yale school of medicine, Yale University",@yale.edu,510,MLgFHkwAAAAJ,{'indices'},Genetics|Cell biology|Tumor Biology|Cancer immuno-therapy|CRISPR-Cas9,"Jialing Zhang, MD, Ph.D.",https://scholar.google.com/citations?view_op=medium_photo&user=MLgFHkwAAAAJ,348,11,10,11,11,0,0
54974,Vanderbilt University Medical Center,@vumc.org,510,OhHC_IMAAAAJ,{'indices'},genetics|genomics,Cara Ballard Sutcliffe,https://scholar.google.com/citations?view_op=medium_photo&user=OhHC_IMAAAAJ,139,7,6,6,4,0,0
54975,,,510,ZyxLqygAAAAJ,{'indices'},Aquaculture|Breeding|Genetics|Genomics,José  Mota-Velasco,https://scholar.google.com/citations?view_op=medium_photo&user=ZyxLqygAAAAJ,317,10,8,10,8,0,0
54976,University of Kentucky,@uky.edu,509,xfYauYYAAAAJ,{'indices'},Plant molecular biology|genetics|genomics,Manohar Chakrabarti,https://scholar.google.com/citations?view_op=medium_photo&user=xfYauYYAAAAJ,411,8,8,8,8,0,0
