,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
618817,Postdoc of Rutgers University,,2070,GGfV8QcAAAAJ,{'indices'},,Xiaochuan (David) Liu,,1623,19,18,23,22,0,0
618818,"Associate Professor of Basic Medical Sciences, University of Arizona School of Medicine",,4707,A8T_j2kAAAAJ,{'indices'},,Deveroux Ferguson,,2645,32,24,34,32,0,0
618819,"Stanford University, Director, Cardiovascular Institute, Professor of Medicine & Radiology,",,35937,-gEuUZIAAAAJ,{'indices'},,Joseph C. Wu,,19792,103,73,317,267,0,0
618820,Korea Brain Research Institute,,6697,MSFw7wgAAAAJ,{'indices'},,Ja Wook Koo,,3793,34,30,41,39,0,0
618821,"Instructor, Cardiovascular Institute - Stanford University",,2681,9uDSsx8AAAAJ,{'indices'},,Chun Liu,,1492,11,11,11,11,0,0
618822,"Assistant Professor, Princeton Neuroscience Institute",,4071,fi24pWwAAAAJ,{'indices'},,Catherine Jensen Peña,,3047,33,28,44,44,0,0
618823,Nationwide Children's Hospital/The Ohio State University,,683,EmKRsR4AAAAJ,{'indices'},,Mingtao Zhao,,468,16,13,20,13,0,0
618824,"Assistant Professor, Cardiovascular Institute, Department of Surgery, Division of Vascular Surgery",,2248,A5Dj9KwAAAAJ,{'indices'},,Nazish Sayed MD PhD,,1536,21,19,29,27,0,0
618825,INSERM,,7847,AV2Phs0AAAAJ,{'indices'},,vincent vialou,,4491,44,34,57,54,0,0
618826,Stanford University,,502,05K6GMkAAAAJ,{'indices'},,Dan Li,,458,9,9,9,9,0,0
618827,"Professor of Neuroscience, Icahn School of Medicine at Mount Sinai",,22713,57TWCcwAAAAJ,{'indices'},,Scott J Russo,,13485,67,56,132,122,0,0
618828,"The University of Washington, Department of Biological Structure",,4621,fcR9Oa4AAAAJ,{'indices'},,Sam A. Golden,,3539,30,27,41,39,0,0
618829,"Assistant Professor of Biology, Adelphi University",,1146,XXFKvzIAAAAJ,{'indices'},,Hannah M. Cates,,1105,16,16,20,20,0,0
618830,Professor at Skolkovo Institute of Science and Technology,,11293,HEGfc6YAAAAJ,{'indices'},,philipp khaitovich,,4691,47,37,88,74,0,0
618831,Vertex Pharmaceuticals,,2022,Vpl2bawAAAAJ,{'indices'},,Praveen Shukla,,1797,17,16,20,18,0,0
618832,Assistant Professor at University of Pittsburgh,,2742,CuF-980AAAAJ,{'indices'},,Haodi Wu,,2448,27,27,33,32,0,0
618833,"Assistant Professor, Vanderbilt University School of Medicine",,2646,YeOvyrUAAAAJ,{'indices'},,Erin Calipari,,2306,29,27,50,49,0,0
618834,McGill University Department of Psychology,,5764,Rdtt7HkAAAAJ,{'indices'},,Rosemary C Bagot,,3759,35,30,50,48,0,0
618835,"Professor of Systems Biology, Southern University of Science and Technology",,21908,bKZA82cAAAAJ,{'indices'},,wei chen,,13377,65,51,122,115,0,0
618836,"Professor of Biological Sciences, University of Alberta",,8763,W5FvZ84AAAAJ,{'indices'},,Felix Sperling,,2778,50,28,120,82,0,0
618837,"Department of Biology, Lund University",,12180,mTAUaD0AAAAJ,{'indices'},,Niklas Wahlberg,,6492,58,39,148,126,0,0
618838,"Center for Bioinformatics and Computational Biology, University of Maryland",,7735,0ahvXiEAAAAJ,{'indices'},,Michael P. Cummings,,2997,50,30,81,54,0,0
