,author_1,author_2
82189,LrlwhwUAAAAJ,uwYSPwUAAAAJ
82190,LrlwhwUAAAAJ,VEgYxzIAAAAJ
82191,LrlwhwUAAAAJ,sUVeH-4AAAAJ
82192,LrlwhwUAAAAJ,geWFwS4AAAAJ
82193,LrlwhwUAAAAJ,rdiEHQgAAAAJ
82194,LrlwhwUAAAAJ,lhw-EFMAAAAJ
82195,LrlwhwUAAAAJ,0FuZRPYAAAAJ
82196,LrlwhwUAAAAJ,k5jlcScAAAAJ
82197,LrlwhwUAAAAJ,tQGgmM4AAAAJ
82198,LrlwhwUAAAAJ,79nwG_kAAAAJ
82199,LrlwhwUAAAAJ,KK-N1AoAAAAJ
82200,LrlwhwUAAAAJ,BWL7i5cAAAAJ
82201,LrlwhwUAAAAJ,3Qj_KP8AAAAJ
82202,LrlwhwUAAAAJ,CT0TjCkAAAAJ
82203,gl9hluAAAAAJ,hNXOMWEAAAAJ
82204,gl9hluAAAAAJ,EQQf0RwAAAAJ
82205,gl9hluAAAAAJ,IajQB5MAAAAJ
82206,gl9hluAAAAAJ,Tylq51cAAAAJ
82207,gl9hluAAAAAJ,cwUzg-kAAAAJ
82208,gl9hluAAAAAJ,46qLGfUAAAAJ
82209,gl9hluAAAAAJ,SwSsyBAAAAAJ
82210,gl9hluAAAAAJ,VBQxI5oAAAAJ
82211,gl9hluAAAAAJ,FY-d98AAAAAJ
82212,gl9hluAAAAAJ,okhEoSkAAAAJ
82213,gl9hluAAAAAJ,tOoiTq4AAAAJ
82214,gl9hluAAAAAJ,1hYJTQsAAAAJ
82215,gl9hluAAAAAJ,0nyj4HsAAAAJ
82216,gl9hluAAAAAJ,tDHKYtIAAAAJ
82217,gl9hluAAAAAJ,_UJz8bwAAAAJ
82218,gl9hluAAAAAJ,OrKqLoAAAAAJ
82219,gl9hluAAAAAJ,68c8F_YAAAAJ
82220,gl9hluAAAAAJ,5t9EnDAAAAAJ
82221,gl9hluAAAAAJ,2UPZsqoAAAAJ
82222,gl9hluAAAAAJ,-f4_SrwAAAAJ
82223,qrZ788cAAAAJ,e3xidLIAAAAJ
82224,qrZ788cAAAAJ,nguX-zAAAAAJ
82225,qrZ788cAAAAJ,W4VMUAIAAAAJ
82226,qrZ788cAAAAJ,X__ShD4AAAAJ
82227,qrZ788cAAAAJ,1ED6kgoAAAAJ
82228,qrZ788cAAAAJ,2QOA3iQAAAAJ
82229,qrZ788cAAAAJ,9tQxKZcAAAAJ
82230,qrZ788cAAAAJ,RMB9KSUAAAAJ
82231,qrZ788cAAAAJ,hOWsYWsAAAAJ
82232,qrZ788cAAAAJ,YYcRTlcAAAAJ
82233,qrZ788cAAAAJ,L14IppEAAAAJ
82234,qrZ788cAAAAJ,qng85OcAAAAJ
82235,qrZ788cAAAAJ,3L6Jn1IAAAAJ
82236,qrZ788cAAAAJ,I9Y_jjsAAAAJ
82237,qrZ788cAAAAJ,gHCc0asAAAAJ
82238,qrZ788cAAAAJ,3VleK0EAAAAJ
82239,qrZ788cAAAAJ,9xA1L1wAAAAJ
82240,qrZ788cAAAAJ,kNl-jDgAAAAJ
82241,qrZ788cAAAAJ,do-Yn5YAAAAJ
82242,qrZ788cAAAAJ,ifK8snYAAAAJ
82243,yGoUMzYAAAAJ,agv3DVIAAAAJ
82244,yGoUMzYAAAAJ,u7WiGLQAAAAJ
82245,yGoUMzYAAAAJ,8dZw4DsAAAAJ
82246,yGoUMzYAAAAJ,JF6OQ_0AAAAJ
82247,yGoUMzYAAAAJ,gqCfK0wAAAAJ
82248,yGoUMzYAAAAJ,_HrEeVsAAAAJ
82249,yGoUMzYAAAAJ,2bC6aPsAAAAJ
82250,yGoUMzYAAAAJ,zYyQEX4AAAAJ
82251,yGoUMzYAAAAJ,up1uqhIAAAAJ
82252,yGoUMzYAAAAJ,CkDYPKsAAAAJ
