,Unnamed: 0,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
85,41972,The iron sandwich. A recollection of the first four months,1975.0,Geoffrey Wilkinson,100.0,Journal of Organometallic Chemistry,1,273-278,Elsevier,,True,J666WVMAAAAJ:vV6vV6tmYwMC,164,,768279293193853646,/scholar?cites=768279293193853646,,,0,1,RuNPc0kAAAAJ
86,41973,Reactions of peroxobis (triphenylphosphine) platinum (II) and analogs with with carbon dioxide. carbon disulfide. and other unsaturated molecules,1970.0,PJ Hayward and DM Blake and G Wilkinson and CJ Nyman,92.0,Journal of the American Chemical Society,20,5873-5878,American Chemical Society,,True,J666WVMAAAAJ:9pM33mqn1YgC,161,,3541521020011761996,/scholar?cites=3541521020011761996,,,0,1,gbyVBJ8AAAAJ | 9yxrXuYAAAAJ | pe0em2MAAAAJ | None
87,41974,trans‐Chlorocarbonylbis(Tri‐Phenylphosphine)Rhodium and Related Complexes,1968.0,D Evans and JA Osborn and G Wilkinson and Robert Paine Jr and RW Parry,11.0,Inorganic Syntheses,,99-101,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:-mN3Mh-tlDkC,161,,4953122388976564847,/scholar?cites=4953122388976564847,,,0,1,LjfGNNwAAAAJ | siOwbosAAAAJ | pe0em2MAAAAJ | None | qRL9tl4AAAAJ
88,41975,600. Dicarbonyl-β-diketonato-and related complexes of rhodium (I),1964.0,F Bonati and G Wilkinson,,Journal of the Chemical Society (Resumed),,3156-3160,Royal Society of Chemistry,,True,J666WVMAAAAJ:27LrP4qxOz0C,158,,6162888956690141075,/scholar?cites=6162888956690141075,,,0,1,rwlUOJ8AAAAJ | pe0em2MAAAAJ
89,41976,Cyclopentadienyl and arene metal compounds,1959.0,G Wilkinson and FA Cotton,,Progress in inorganic chemistry,,1-124,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:ghEM2AJqZyQC,158,,6248325654202010370,/scholar?cites=6248325654202010370,,,0,1,pe0em2MAAAAJ | None
90,41977,The synthesis. properties. and reactivities of stable compounds featuring double bonding between heavier Group 14 and 15 elements,1986.0,Alan H Cowley and Nicholas C Norman,,Progress in inorganic chemistry,,1-63,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:k8to_Y4Q4_EC,157,,12477430405228453816,/scholar?cites=12477430405228453816,,,0,1,None | None
91,41978,The use of density functional theory to understand and predict structures and bonding in main group compounds with multiple bonds,1998.0,F Albert Cotton and Alan H Cowley and Xuejun Feng,120.0,Journal of the American Chemical Society,8,1795-1799,American Chemical Society,,True,J666WVMAAAAJ:ipSP0SfFaZ8C,154,,17893156351839574933,/scholar?cites=17893156351839574933,,,0,1,None | None | None
92,41979,Cyclopentadienyl Compounds of Chromium. Molybdenum and Tungsten,1954.0,Geoffrey Wilkinson,76.0,Journal of the American Chemical Society,1,209-211,American Chemical Society,,True,J666WVMAAAAJ:eGYfIraVYiQC,152,,6290611453550183588,/scholar?cites=6290611453550183588,,,0,1,RuNPc0kAAAAJ
93,41980,Bis-cyclopentadienyl derivatives of some transition elements,1953.0,G Wilkinson and PL Pauson and JM Birmingham and FA Cotton,75.0,Journal of the American Chemical Society,4,1011-1012,American Chemical Society,,True,J666WVMAAAAJ:fixghrsIJ_wC,152,,16116518151795989726,/scholar?cites=16116518151795989726,,,0,1,pe0em2MAAAAJ | None | 5PbwBQ0AAAAJ | None
94,41981,The chemistry of the phosphorus-phosphorus bond,1965.0,AH Cowley,65.0,Chemical Reviews,6,617-634,American Chemical Society,,True,J666WVMAAAAJ:yD5IFk8b50cC,144,,940309853535701620,/scholar?cites=940309853535701620,,,0,1,None
