Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
713296,"Executive Director, PAII Inc., Johns Hopkins University, IEEE Fellow, MICCAI Board Member",,10281.0,kZn0f6gAAAAJ,{'indices'},nan,Le Lu,nan,9501.0,40,37,91,77,0,0
713297,Siemens Healthcare,,51562.0,-XZ2HrAAAAAJ,{'indices'},nan,Dorin Comaniciu,nan,17808.0,80,54,412,269,0,0
713298,Siemens Healthineers,,7911.0,j41ocikAAAAJ,{'indices'},nan,"Ali Kamen, PhD, FAIMBE",nan,4167.0,46,35,153,101,0,0
713299,"Staff Scientist, PAII Inc",,977.0,XcDXVI8AAAAJ,{'indices'},nan,Adam P. Harrison,nan,926.0,16,15,23,21,0,0
713300,"Siemens Healthineers, Medical Imaging Technologies",,1355.0,VCbqAkcAAAAJ,{'indices'},nan,Sasa Grbic,nan,1252.0,16,16,29,28,0,0
713301,PAII Inc.,,49.0,O4ZTkNgAAAAJ,{'indices'},nan,Yirui Wang,nan,49.0,4,4,2,2,0,0
713302,Senior Research Scientist @ Siemens Healthineers,,124.0,aGXLoccAAAAJ,{'indices'},nan,Yue Zhang,nan,122.0,4,4,4,3,0,0
713303,"Senior Research Scientist, Siemens Medical Solutions USA, Inc.",,336.0,cYdQg3AAAAAJ,{'indices'},nan,Ahmet Tuysuzoglu,nan,281.0,9,9,9,9,0,0
713304,Chang gung memorial hospital,,755.0,HLVycC8AAAAJ,{'indices'},nan,"Chi-Tung, Cheng",nan,619.0,16,13,21,21,0,0
713305,University of British Columbia,,230.0,ye-uIMIAAAAJ,{'indices'},nan,Jiannan Zheng,nan,226.0,7,7,6,5,0,0
713306,Macquarie University,,342.0,mUcsiRgAAAAJ,{'indices'},nan,Mahmood Yousefi-Azar,nan,334.0,6,6,4,4,0,0
713307,,,10488.0,Ru4cV0EAAAAJ,{'indices'},nan,Vijay Varadharajan,nan,4666.0,48,28,235,99,0,0
713308,Macquarie University,,131.0,vs_ZgScAAAAJ,{'indices'},nan,Omid Nezami,nan,87.0,6,6,4,3,0,0
713309,"Associate Professor of Computing, Macquarie University",,2297.0,r1gJsmAAAAAJ,{'indices'},nan,Mark Dras,nan,1200.0,27,20,69,38,0,0
713310,Macquarie University,,152.0,gO1j4QgAAAAJ,{'indices'},nan,Kevin Ho-Shon,nan,128.0,6,5,5,4,0,0
713311,"Professor, Department of Computing, Macquarie University",,3961.0,p0BxAfAAAAAJ,{'indices'},nan,Deborah Richards,nan,1715.0,32,20,112,41,0,0
713312,"Associate Professor of Computer Science, Macquarie University",,2128.0,_b0Z-X0AAAAJ,{'indices'},nan,Manolya Kavakli-Thorne,nan,924.0,20,14,43,25,0,0
713313,,,1711.0,DtcxFY4AAAAJ,{'indices'},nan,Uday Tupakula,nan,1175.0,21,16,38,27,0,0
713314,Data61 CSIRO,,1363.0,YMRsSGcAAAAJ,{'indices'},nan,Stephen Wan,nan,692.0,18,12,31,16,0,0
713315,"Acting Chief Scientist, CSIRO's Data61, Australia",,8045.0,fKl6HZgAAAAJ,{'indices'},nan,Cecile Paris,nan,3057.0,39,23,156,71,0,0
713316,CSIRO Data61 Australia,,3388.0,z4We1-UAAAAJ,{'indices'},nan,Dr. Shiping Chen,nan,2243.0,26,20,65,38,0,0
713317,Senior Research Scientist at CSIRO,,1752.0,BRzka3AAAAAJ,{'indices'},nan,Sarvnaz Karimi,nan,1236.0,20,16,37,27,0,0
713318,"Department of Computing, Macquarie University, Australia",,219.0,bJxWt4EAAAAJ,{'indices'},nan,Sonit Singh,nan,188.0,6,6,4,3,0,0
713319,Macquarie University,,1092.0,SNfRGJoAAAAJ,{'indices'},nan,Xi Zheng,nan,1058.0,18,17,32,31,0,0
713320,"Professor, Harvard University",,40796.0,iLQqwosAAAAJ,{'indices'},nan,H. T. Kung,nan,7062.0,78,33,242,90,0,0
713321,Carnegie Mellon University,,172501.0,LQ87h3sAAAAJ,{'indices'},nan,Takeo Kanade,nan,56573.0,168,79,675,364,0,0
