,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
679403,"Professor of Computer Science, Saarland University, Saarland Informatics Campus",,13468,_4ssMloAAAAJ,{'indices'},,Sven Apel,,6951,64,43,163,126,0,0
679404,TomTom,,1977,j27MIVUAAAAJ,{'indices'},,Marko Rosenmüller,,662,22,12,31,16,0,0
679405,"Research Assistant, University of Passau",,580,z8VMmsgAAAAJ,{'indices'},,Alexander Grebhahn,,468,11,10,13,11,0,0
679406,"Master of Science, University of Magdeburg",,520,nJ8NncoAAAAJ,{'indices'},,Reimar Schröter,,409,14,14,18,15,0,0
679407,"Otto-von-Guericke Universität Magdeburg, Germany",,1115,JYkdCCgAAAAJ,{'indices'},,Sandro Schulze,,843,20,18,33,29,0,0
679408,"Research Associate of Computer Science, Otto-von-Guericke University Magdeburg",,680,zaIRPI8AAAAJ,{'indices'},,Veit Köppen,,271,14,10,22,10,0,0
679409,"Professor of Computer Science, University of Ulm, Germany",,4090,wOSEFVAAAAAJ,{'indices'},,Thomas Thüm,,2802,33,29,60,57,0,0
679410,"Tata Research Development and Design Center, Tata Consultancy Services Ltd.",,404,0NNafOYAAAAJ,{'indices'},,Dr. Sagar Sunkle,,186,13,8,16,5,0,0
679411,"Professor @ University of Coimbra, Portugal",,1573,7kSr88YAAAAJ,{'indices'},,Rui Pedro Paiva,,910,24,18,47,30,0,0
679412,CISUC,,189,km30M3UAAAAJ,{'indices'},,Ricardo Malheiro,,160,7,7,5,5,0,0
679413,Centre for Informatics and Systems - University of Coimbra,,368,Dc6qf4YAAAAJ,{'indices'},,Bruno M. Rocha,,296,9,9,9,9,0,0
679414,"Assistant Professor of Informatics Engineering, University of Coimbra",,2512,IKbelpsAAAAJ,{'indices'},,Paulo Gomes,,921,25,14,71,24,0,0
679415,"Polythecnic Institute of Tomar, Instituto de Telecomunicações",,943,5_3PHpsAAAAJ,{'indices'},,Luís M. L. Oliveira,,556,12,9,15,9,0,0
679416,IPT- Tomar (ipt.pt) / ISR - Coimbra (isr.uc.pt),,1338,84oroekAAAAJ,{'indices'},,Gabriel Pires,,722,18,15,26,20,0,0
679417,Instituto Politécnico de Coimbra,,2346,KGkmsSMAAAAJ,{'indices'},,Telmo Pereira,,1729,19,14,33,22,0,0
679418,"Institute of Systems and Robotics, University of Coimbra / Institute Polytechnic of Tomar, Portugal",,172,K5_loIMAAAAJ,{'indices'},,Luis Almeida,,110,8,5,6,3,0,0
679419,"Instituto Politecnico de Tomar, Instituto de Telecomunicações",,98,JjpRXckAAAAJ,{'indices'},,Pedro D. Frazão Correia,,45,6,3,2,1,0,0
679420,IPT - Tomar (ipt.pt) / ISR - Coimbra,,298,greksMkAAAAJ,{'indices'},,Ana Lopes,,165,9,6,8,4,0,0
679421,"Professor, KTH Royal Institute of Technology",,3041,NulsX04AAAAJ,{'indices'},,György Dán,,1857,28,23,73,50,0,0
679422,"Professor of Decision and Control Systems, KTH Royal Institute of Technology",,9392,SL4QmnwAAAAJ,{'indices'},,Henrik Sandberg,,6926,43,38,137,106,0,0
679423,"Assistant professor, Electrical Engineering, National Sun Yat-sen University",,1668,BYjICeAAAAAJ,{'indices'},,Kin Cheong Sou,,1158,16,14,20,15,0,0
679424,"Professor, KTH",,7208,lISeVIEAAAAJ,{'indices'},,Gunnar Karlsson,,911,34,14,81,21,0,0
679425,Oregon State University,,2890,_0x5unAAAAAJ,{'indices'},,Rakesh B Bobba,,1903,26,22,49,44,0,0
679426,Universidade Federal do ABC (UFABC),,203,CIyq9coAAAAJ,{'indices'},,Nunzio Marco Torrisi,,91,8,6,6,4,0,0
679427,"Professor of Computer Science, University of Luxembourg",,15430,DmGlmNEAAAAJ,{'indices'},,Yves Le Traon,,9906,62,47,214,159,0,0
679428,"Research Scientist, University of Luxembourg",,3767,4O3EolUAAAAJ,{'indices'},,Mike Papadakis,,3119,36,31,64,60,0,0
679429,University of Luxembourg,,1360,sRXHjkIAAAAJ,{'indices'},,Maxime Cordy,,891,19,16,23,20,0,0
679430,DataThings,,192,5fQBcwoAAAAJ,{'indices'},,Cyril Cecchinel,,164,4,4,2,1,0,0
679431,DataThings - https://datathings.com/,,310,bgRvrC4AAAAJ,{'indices'},,Thomas Hartmann,,278,11,10,12,11,0,0
679432,"CTO, DataThings Luxembourg",,758,svBgMccAAAAJ,{'indices'},,"Francois Fouquet, PhD",,503,15,13,21,16,0,0
679433,"Full Professor of Computer Science, University of Lille, France",,3740,U3217h0AAAAJ,{'indices'},,Romain Rouvoy,,1893,34,24,79,48,0,0
679434,SES S.A.,,217,828z4mEAAAAJ,{'indices'},,Thierry Titcheu Chekam,,213,7,7,6,6,0,0
679435,"Teknik Elektro, Universitas Muhammadiyah Surakarta",,291,C3kxzwoAAAAJ,{'indices'},,Umi Fadlilah,,264,8,7,7,7,0,0
679436,"Teknik Elektro dan Informatika, Universitas Muhammadiyah Surakarta",,638,MCZ0eicAAAAJ,{'indices'},,Heru Supriyono,,579,12,11,19,16,0,0
679437,Universitas Gadjah Mada,,1004,RqKjyioAAAAJ,{'indices'},,Neila Ramdhani,,803,16,14,25,22,0,0
679438,Universitas Gadjah Mada,,618,6JpHP3wAAAAJ,{'indices'},,Ridi Ferdiana,,555,12,11,21,17,0,0
679439,Lecturer of Informatics Engineering,,215,H8TV1tEAAAAJ,{'indices'},,Fatah Yasin Al Irsyadi,,212,8,8,6,6,0,0
679440,Universitas Muhammadiyah Surakarta,,59,ks-M3lcAAAAJ,{'indices'},,Azizah Fatmawati,,59,4,4,2,2,0,0
679441,FKIP Universitas Muhammadiyah Surakarta,,65,qKxp3hcAAAAJ,{'indices'},,Irma Yuliana,,55,5,5,0,0,0,0
679442,"Associate Professor, Universitas Gadjah Mada",,1426,Fx312yQAAAAJ,{'indices'},,Lukito Edi Nugroho,,1113,17,17,33,30,0,0
679443,Universitas Muhammadiyah Surakarta,,5,b1kS9YcAAAAJ,{'indices'},,Rafiqa Maharani Putri Siregar,,5,2,2,0,0,0,0
679444,Universiti Teknologi Malaysia,,131,a6lNTP4AAAAJ,{'indices'},,adila firdaus arbain,,106,7,7,6,5,0,0
679445,Universitas Muhammadyah Surakarta,,397,rEEjO8IAAAAJ,{'indices'},,Wiwien Dinar Pratisti,,330,9,8,7,6,0,0
679446,Universitas Muhammadiyah Surakarta,,333,2NpK0EnWhdsC,{'indices'},,Yusuf Sulistyo Nugroho,,295,9,8,5,5,0,0
679447,"Electrical Engineering, Universitas Khairun",,57,x9HvH1kAAAAJ,{'indices'},,iis hamsir ayub wahab,,50,4,4,1,1,0,0
679448,"lecturer in Communication Science, Universitas Muhammadiyah Surakarta",,122,OmD_kF0AAAAJ,{'indices'},,Dian Purworini,,120,6,6,4,4,0,0
679449,"Adjunct Professor, Ecole de technologie superieure, U. of Quebec",,13063,JcyHeLYAAAAJ,{'indices'},,Alain Abran,,4949,45,28,222,91,0,0
