Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
300460,"Associate Professor, Computer Science, FAST-NUCES, Islamabad, Pakistan",@nu.edu.pk,1556,sZFiVr4AAAAJ,{'indices'},Software Testing|Model-Driven Engineering|Software Engineering|Cyber Physical Systems|SBSE,Muhammad Zohaib Iqbal,https://scholar.google.com/citations?view_op=medium_photo&user=sZFiVr4AAAAJ,818,21,17,30,25,0,1
300461,Accenture Technology Labs,@accenture.com,1556,-x6lLvcAAAAJ,{'indices'},Cloud Computing|Software Engineering|Natural Language Processing|Machine Learning,Shubhashis Sengupta,https://scholar.google.com/citations?view_op=medium_photo&user=-x6lLvcAAAAJ,1026,21,17,36,27,0,1
300462,Technical University of Denmark,@dtu.dk,1556,zFpeO-AAAAAJ,{'indices'},Software Engineering|UML|Formal Methods|eXtreme Programming|Agile Software Development Processes,Hubert Baumeister,https://scholar.google.com/citations?view_op=medium_photo&user=zFpeO-AAAAAJ,371,18,6,29,4,0,1
300463,"Professor, University of Thessaly, Department of Business Administration, Larissa, Greece",@uth.gr,1554,_wOCvTQAAAAJ,{'indices'},software engineering|agile project management|smart cities|industry 4.0,Panos Fitsilis; Πάνος Φιτσιλής,https://scholar.google.com/citations?view_op=medium_photo&user=_wOCvTQAAAAJ,1033,17,13,33,21,0,1
300464,"Lecturer in Cyber-Physical Systems, University of Southampton",@ecs.soton.ac.uk,1554,mDYOIacAAAAJ,{'indices'},Software Engineering|Formal Methods,Thai Son Hoang,https://scholar.google.com/citations?view_op=medium_photo&user=mDYOIacAAAAJ,830,17,12,26,14,0,1
300465,Amazon,@amazon.com,1551,LjvdQxYAAAAJ,{'indices'},Software Engineering|Software Architecture and Design|Software Analysis and Testing|Mobile and Pervasive Software Systems,Naeem Esfahani,https://scholar.google.com/citations?view_op=medium_photo&user=LjvdQxYAAAAJ,941,16,12,21,13,0,1
300466,Yangzhou University,@yzu.edu.cn,1551,8yYA6FEAAAAJ,{'indices'},Software Engineering|Software Data Analytics,Xiaobing Sun,https://scholar.google.com/citations?view_op=medium_photo&user=8yYA6FEAAAAJ,1234,19,16,41,32,0,1
300467,Solutions Architect,@sanger.ac.uk,1547,1aLoRV0AAAAJ,{'indices'},Software Engineering,Aleksandra Ola Tarkowska,https://scholar.google.com/citations?view_op=medium_photo&user=1aLoRV0AAAAJ,1270,10,9,10,9,0,1
300468,"Professor of Computer Science, Portland State University",@pdx.edu,1546,IqqDQZsAAAAJ,{'indices'},Software Engineering|Computer Forensics,Warren Harrison,https://scholar.google.com/citations?view_op=medium_photo&user=IqqDQZsAAAAJ,188,20,7,36,5,0,1
300469,Oficina do Saber,@seco.pt,1544,s8Rac_AAAAAJ,{'indices'},Natural Language Processing|Software Engineering|Distributed Computing,Nuno Seco,https://scholar.google.com/citations?view_op=medium_photo&user=s8Rac_AAAAAJ,393,13,8,20,6,0,1
