303199,"Assistant Professor, City University of New York",@hunter.cuny.edu,213,gr8cON0AAAAJ,{'indices'},Software Engineering|Software Evolution|Refactoring|Static Analysis|Machine Learning Systems,Raffi Khatchadourian,https://scholar.google.com/citations?view_op=medium_photo&user=gr8cON0AAAAJ,109,7,5,7,4,0,1
303200,"Associate Professor, Mutah University",@mutah.edu.jo,213,twLQWUoAAAAJ,{'indices'},Software Engineering,Mustafa Hammad,https://scholar.google.com/citations?view_op=medium_photo&user=twLQWUoAAAAJ,188,8,6,4,3,0,1
303201,"Department of Computer Science, University of Swaziland",@uniswa.sz,213,_gZ6sR0AAAAJ,{'indices'},Software Engineering|Health Informatics|Machine Leaning|Soft Computing|Performance Evaluation,Professor Boluwaji A. Akinnuwesi,https://scholar.google.com/citations?view_op=medium_photo&user=_gZ6sR0AAAAJ,161,9,7,9,6,0,1
303202,University of Calabar,@unical.edu.ng,213,cRtM1NYAAAAJ,{'indices'},Software Engineering|Informatics,Iwara I. Arikpo,https://scholar.google.com/citations?view_op=medium_photo&user=cRtM1NYAAAAJ,183,6,6,5,4,0,1
303203,Assistant Professor USICT Guru Gobind Singh  Indraprastha University,,213,YlwvBpEAAAAJ,{'indices'},Software Engineering|Machine Learning|Soft Computing|Neural Networks|Data Mining,Kamaldeep Kaur,https://scholar.google.com/citations?view_op=medium_photo&user=YlwvBpEAAAAJ,166,8,8,8,6,0,1
303204,Research Fellow at Aristotle University of Thessaloniki,@issel.ee.auth.gr,213,E1gfeiMAAAAJ,{'indices'},Data Mining|Software Engineering,Themistoklis Diamantopoulos,https://scholar.google.com/citations?view_op=medium_photo&user=E1gfeiMAAAAJ,194,9,9,8,8,0,1
303205,Aqaba University of Technology,@aut.edu.jo,212,bUQQhmIAAAAJ,{'indices'},Software Engineering|Software Quality|Software Measurement,Anas Bassam AL-Badareen,https://scholar.google.com/citations?view_op=medium_photo&user=bUQQhmIAAAAJ,147,8,7,7,3,0,1
303206,"Research Associate, University of Cyprus",@cs.ucy.ac.cy,212,VjpGizoAAAAJ,{'indices'},Software engineering|self adaptive software|web development,Konstantinos Kakousis,https://scholar.google.com/citations?view_op=medium_photo&user=VjpGizoAAAAJ,74,6,4,4,1,0,1
303207,"Assistant Professor, Federal University of Pernambuco",@cin.ufpe.br,212,jp9fGhsAAAAJ,{'indices'},Software Engineering|Software Testing,Breno Miranda,https://scholar.google.com/citations?view_op=medium_photo&user=jp9fGhsAAAAJ,188,8,8,8,7,0,1
303208,"Investigator, Silicon Therapeutics",@silicontx.com,212,ng6RuC4AAAAJ,{'indices'},Molecular Biology & Biophysics|Structural Biology|Software Engineering,Alessandro A. Rizzo,https://scholar.google.com/citations?view_op=medium_photo&user=ng6RuC4AAAAJ,186,8,8,7,6,0,1
303209,UFAM,@icomp.ufam.edu.br,212,BLbfPSYAAAAJ,{'indices'},Software Engineering|Collaborative Systems,Bruno Gadelha,https://scholar.google.com/citations?view_op=medium_photo&user=BLbfPSYAAAAJ,140,8,6,7,3,0,1
303210,ju.edu.sa,@ju.edu.sa,212,ltLW8OYAAAAJ,{'indices'},software engineering|cybersecurity|e Healthcare|blockchain|global software development,Mamoona Humayun,https://scholar.google.com/citations?view_op=medium_photo&user=ltLW8OYAAAAJ,207,9,9,8,7,0,1
303211,"PhD of Artificial Intelligence, Amirkabir University of Technology",,212,OzJcE6IAAAAJ,{'indices'},Machine Learning|Software Engineering,Behnaz Moradabadi,https://scholar.google.com/citations?view_op=medium_photo&user=OzJcE6IAAAAJ,206,7,7,7,7,0,1
303212,"System Engineer, Bombardier Transportation",@rail.bombardier.com,211,yxmKHRkAAAAJ,{'indices'},Software engineering,Inderjeet Singh,https://scholar.google.com/citations?view_op=medium_photo&user=yxmKHRkAAAAJ,133,2,1,1,1,0,1
303213,"Associate Professor, Universidad Católica del Norte, Chile",@ucn.cl,211,CrqCdsgAAAAJ,{'indices'},Programming Languages|Software Engineering|Agent-Based Model,Paul Leger,https://scholar.google.com/citations?view_op=medium_photo&user=CrqCdsgAAAAJ,101,5,4,4,3,0,1
303214,"Physician & Computer Scientist, University of Saskatchewan",@kapur.org,211,nbvdzU4AAAAJ,{'indices'},clinical informatics|software engineering|electronic health records,Puneet Kapur,https://scholar.google.com/citations?view_op=medium_photo&user=nbvdzU4AAAAJ,116,6,6,6,6,0,1
303215,EURA NOVA R&D,@euranova.eu,211,eFRPYAcAAAAJ,{'indices'},Data science|distributed computing|software engineering|event stream processing|event-driven architecture,Sabri Skhiri,https://scholar.google.com/citations?view_op=medium_photo&user=eFRPYAcAAAAJ,133,9,7,9,5,0,1
303216,Vellore Institute of Technology,@vit.ac.in,211,P-UJkCUAAAAJ,{'indices'},Data Mining|Software Engineering,Sujatha R,https://scholar.google.com/citations?view_op=medium_photo&user=P-UJkCUAAAAJ,187,8,8,6,6,0,1
303217,"Instructor of Software Engineering, University of Calgary",@ucalgary.ca,211,6RFVuYoAAAAJ,{'indices'},Software Engineering|Requirement Engineering|Software Architecture|Engineering Education|Machine Learning,Mohammad Moshirpour,https://scholar.google.com/citations?view_op=medium_photo&user=6RFVuYoAAAAJ,124,8,7,7,0,0,1
303218,"Assistant Professor, Washington and Lee University",@wlu.edu,211,G1UCbIAAAAAJ,{'indices'},Computer Science|Software Engineering|Bioinformatics|Medical Software Engineering,Cody Watson,https://scholar.google.com/citations?view_op=medium_photo&user=G1UCbIAAAAAJ,210,6,6,6,6,0,1
303219,ITRAC-Information Technology-Research and Application Center .University of Brasilia,@unb.br,211,sLV9TT4AAAAJ,{'indices'},e-Governance|digital government|IT outsourcing|software engineering,Rejane Maria da Costa Figueiredo,https://scholar.google.com/citations?view_op=medium_photo&user=sLV9TT4AAAAJ,120,8,6,3,2,0,1
303220,Windesheim University of Applied Sciences,@windesheim.nl,211,Wq4aGF4AAAAJ,{'indices'},Human-Computer Interaction|Research Design|Software Engineering|Embedded Systems|IT innovations in Healthcare,Gido Hakvoort,https://scholar.google.com/citations?view_op=medium_photo&user=Wq4aGF4AAAAJ,119,8,6,8,4,0,1
303221,"Mechanical and Aerospace Engineering, Rutgers University",@rutgers.edu,210,kOEKfc0AAAAJ,{'indices'},Astrodynamics|Optimal Control and Optimization|Machine Learning|Space Situational Awareness|Software Engineering,Hao Peng,https://scholar.google.com/citations?view_op=medium_photo&user=kOEKfc0AAAAJ,201,9,8,8,8,0,1
303222,"Indian Institute of Information Technology, Pune, India",@iiitm.ac.in,210,bStAwFsAAAAJ,{'indices'},Genetic Algorithms|Nature-Inspired Computing|Software Engineering,Dr. Apoorva Mishra,https://scholar.google.com/citations?view_op=medium_photo&user=bStAwFsAAAAJ,197,7,7,6,6,0,1
