Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
265584,Great Lakes,,48,xytVPsUAAAAJ,{'indices'},Data Science|Machine Learning|Deep Learning,krishna muppalaneni,https://scholar.google.com/citations?view_op=medium_photo&user=xytVPsUAAAAJ,39,4,3,1,1,0,1
265585,University of Colorado Boulder,@colorado.edu,48,kwjrViYAAAAJ,{'indices'},Deep Metric Learning|Few-Shot Learning|Deep Embeddings|Stochastic Embeddings|Deep Learning,Tyler Scott,https://scholar.google.com/citations?view_op=medium_photo&user=kwjrViYAAAAJ,48,2,2,1,1,0,1
265586,Karlsruhe Institute of Technology,@student.kit.edu,48,xpNTPkIAAAAJ,{'indices'},Computer Vision|Deep Learning|Machine Learning,Thi Hoai Phuong Nguyen,https://scholar.google.com/citations?view_op=medium_photo&user=xpNTPkIAAAAJ,48,2,2,2,2,0,1
265587,"Assistant Professor, Indian Institute of Information Technology Dharwad",@iiitdwd.ac.in,48,AJfrZ68AAAAJ,{'indices'},Data Analytics|Machine Learning|Deep Learning|Optimization,Dr. UTKARSH M. KHAIRE,https://scholar.google.com/citations?view_op=medium_photo&user=AJfrZ68AAAAJ,47,2,2,1,1,0,1
265588,Korea university,@dali.korea.ac.kr,48,pEx-E2wAAAAJ,{'indices'},computer vision|image processing|deep learning,Min-Cheol Sagong,https://scholar.google.com/citations?view_op=medium_photo&user=pEx-E2wAAAAJ,48,2,2,2,2,0,1
265589,"Professor de Informática, Instituto Federal de São Paulo",@ifsp.edu.br,48,IWHhe3AAAAAJ,{'indices'},Computação|Deep learning|multimídia,Tiago Henrique Trojahn,https://scholar.google.com/citations?view_op=medium_photo&user=IWHhe3AAAAAJ,31,5,4,0,0,0,1
265590,Tel-Aviv University,@mail.tau.ac.il,48,CUA9JCkAAAAJ,{'indices'},AI|computer vision|NLP|deep learning|machine learning,Oron Ashual,https://scholar.google.com/citations?view_op=medium_photo&user=CUA9JCkAAAAJ,48,1,1,1,1,0,1
265591,George Mason University,@gmu.edu,48,3FZYFrQAAAAJ,{'indices'},Optimization|Deep Learning|Inverse Problems|Imaging Science,Ratna Khatri,https://scholar.google.com/citations?view_op=medium_photo&user=3FZYFrQAAAAJ,47,2,2,2,2,0,1
265592,Isfahan University of Technology,@ec.iut.ac.ir,48,BmvVLu8AAAAJ,{'indices'},Image processing|bio-medical image processing|Deep learning,Zahra Sobhaninia,https://scholar.google.com/citations?view_op=medium_photo&user=BmvVLu8AAAAJ,48,2,2,2,2,0,1
265593,Chang'an University,@chd.edu.cn,48,U_D8jqUAAAAJ,{'indices'},Deep learning|texture morphology|3D reconstruction,Wanli Ye,https://scholar.google.com/citations?view_op=medium_photo&user=U_D8jqUAAAAJ,48,4,4,2,2,0,1
265594,KAIST,@kaist.ac.kr,48,yexbg8gAAAAJ,{'indices'},Computer Vision|Medical Imaging|Deep Learning,Gihyun Kwon,https://scholar.google.com/citations?view_op=medium_photo&user=yexbg8gAAAAJ,48,3,3,2,2,0,1
265595,"Institute of Information Engineering, Chinese Academy of Sciences",@iie.ac.cn,48,n5i2mAMAAAAJ,{'indices'},Computer Vision|Deep Learning|Multimedia,Chen Gao (高晨),https://scholar.google.com/citations?view_op=medium_photo&user=n5i2mAMAAAAJ,48,4,4,2,2,0,1
265596,Beijing Jiaotong University,@bjtu.edu.cn,48,FEjf5HgAAAAJ,{'indices'},Deep Learning|FPGA|OpenCL,Ke Xu,https://scholar.google.com/citations?view_op=medium_photo&user=FEjf5HgAAAAJ,48,3,3,2,2,0,1
265597,Wright State University,@wright.edu,48,xK27aaAAAAAJ,{'indices'},Deep Learning|Target Identification|Sensor Fusion|Avionics|UAVs,Nicholas Speranza,https://scholar.google.com/citations?view_op=medium_photo&user=xK27aaAAAAAJ,27,1,1,1,1,0,1
